Gene Symbol,Gene ID,Ensembl Gene ID
LAMA4,3910,ENSG00000112769
SCLY,51540,ENSG00000132330
IFNA6,3443,ENSG00000120235
SETD1B,23067,ENSG00000139718
SERPINB13,5275,ENSG00000197641
MBNL1,4154,ENSG00000152601
PPM1K,152926,ENSG00000163644
MYEF2,50804,ENSG00000104177
CYP4F12,66002,ENSG00000186204
PRSS57,400668,ENSG00000185198
RBM10,8241,ENSG00000182872
GSTM4,2948,ENSG00000168765
STIL,6491,ENSG00000123473
MADD,8567,ENSG00000110514
ASAP1,50807,ENSG00000153317
nan,,-
nan,,-
GPALPP1,55425,ENSG00000133114
ATF3,467,ENSG00000162772
NAV1,89796,ENSG00000134369
PCMT1,5110,ENSG00000120265
F5,2153,ENSG00000198734
HENMT1,113802,ENSG00000162639
ZNF691,51058,ENSG00000164011
UPRT,139596,ENSG00000094841
SNRPC,6631,ENSG00000124562
ABI1,10006,ENSG00000136754
RRBP1,6238,ENSG00000125844
WRAP73,49856,ENSG00000116213
IGHD,3495,ENSG00000211898
nan,,-
nan,,-
nan,,-
nan,,-
SFXN3,81855,ENSG00000107819
COG4,25839,ENSG00000103051
nan,,-
CAMK2G,818,ENSG00000148660
PDE1C,5137,ENSG00000154678
EIF4G3,8672,ENSG00000075151
PVR,5817,ENSG00000073008
EXOC7,23265,ENSG00000182473
HADH,3033,ENSG00000138796
PLEKHB2,55041,ENSG00000115762
GPATCH11,253635,ENSG00000152133
nan,,-
PHC2,1912,ENSG00000134686
RASA2,5922,ENSG00000155903
ARHGAP5,394,ENSG00000100852
WWC3,55841,ENSG00000047644
MON1A,84315,ENSG00000164077
SLAIN1,122060,ENSG00000139737
AKR1C3,8644,ENSG00000196139
nan,,-
TAPBP,6892,ENSG00000206281//ENSG00000206208//ENSG00000236490//ENSG00000231925//ENSG00000112493
ABCA13,154664,ENSG00000179869
PTPRC,5788,ENSG00000081237//ENSG00000262418
MARK3,4140,ENSG00000075413
ATP1A3,478,ENSG00000105409
AKR1C1,1645,ENSG00000187134
LIPA,3988,ENSG00000107798
SCAF8,22828,ENSG00000213079
FAM213B,,-
CCM2,83605,ENSG00000136280
nan,,-
