ID,ENTREZ_GENE_ID
A_19_P00317536,
A_19_P00317541,
A_19_P00317547,
A_19_P00317550,
A_19_P00317552,
A_19_P00317553,
A_19_P00317556,
A_19_P00317558,
A_19_P00317560,
A_19_P00317562,
A_19_P00317563,
A_19_P00317564,
A_19_P00317565,
A_19_P00317566,
A_19_P00317575,
A_19_P00317576,
A_19_P00317581,
A_19_P00317582,
A_19_P00317585,
A_19_P00317586,
A_19_P00317590,84894
A_19_P00317591,80022
A_19_P00317592,
A_19_P00317597,
A_19_P00317601,
A_19_P00317604,
A_19_P00317610,
A_19_P00317612,
A_19_P00317613,
A_19_P00317616,
A_19_P00317620,
A_19_P00317621,
A_19_P00317625,
A_19_P00317628,7979
A_19_P00317630,
A_19_P00317631,
A_19_P00317636,
A_19_P00317639,
A_19_P00317642,
A_19_P00317643,
A_19_P00317647,
A_19_P00317648,
A_19_P00317653,
A_19_P00317656,
A_19_P00317660,
A_19_P00317661,
A_19_P00317666,
A_19_P00317667,
A_19_P00317671,
A_19_P00317675,
A_19_P00317683,
A_19_P00317684,5066
A_19_P00317688,
A_19_P00317690,
A_19_P00317691,
A_19_P00317696,
A_19_P00317698,
A_19_P00317700,
A_19_P00317704,
A_19_P00317706,23189
A_19_P00317716,
A_19_P00317721,
A_19_P00317731,
A_19_P00317732,
A_19_P00317736,
A_19_P00317741,
A_19_P00317742,
A_19_P00317743,
A_19_P00317746,
A_19_P00317748,
A_19_P00317753,
A_19_P00317756,
A_19_P00317757,
A_19_P00317759,
A_19_P00317760,
A_19_P00317761,116984
A_19_P00317766,
A_19_P00317772,
A_19_P00317773,
A_19_P00317775,
A_19_P00317776,
A_19_P00317780,
A_19_P00317781,
A_19_P00317782,
A_19_P00317789,
A_19_P00317791,
A_19_P00317793,
A_19_P00317803,55667
A_19_P00317807,
A_19_P00317810,
A_19_P00317812,
A_19_P00317814,
A_19_P00317815,
A_19_P00317818,
A_19_P00317819,
A_19_P00317822,
A_19_P00317824,
A_19_P00317830,
A_19_P00317835,
A_19_P00317836,
A_19_P00317838,
A_19_P00317839,
A_19_P00317840,
A_19_P00317842,
A_19_P00317845,
A_19_P00317848,
A_19_P00317850,
A_19_P00317851,
A_19_P00317854,100506374
A_19_P00317856,6168
A_19_P00317864,
A_19_P00317865,
A_19_P00317868,
A_19_P00317871,
A_19_P00317872,
A_19_P00317876,
A_19_P00317878,
A_19_P00317883,
A_19_P00317885,
A_19_P00317887,23164
A_19_P00317892,79149
A_19_P00317897,
A_19_P00317900,
A_19_P00317903,
A_19_P00317904,
A_19_P00317910,
A_19_P00317911,
A_19_P00317913,
A_19_P00317915,
A_19_P00317923,
A_19_P00317925,
A_19_P00317927,
A_19_P00317929,27161
A_19_P00317932,
A_19_P00317933,
A_19_P00317937,
A_19_P00317939,
A_19_P00317945,
A_19_P00317949,
A_19_P00317953,
A_19_P00317957,
A_19_P00317960,
A_19_P00317963,
A_19_P00317965,
A_19_P00317971,4481
A_19_P00317974,
A_19_P00317978,7756
A_19_P00317984,
A_19_P00317989,
A_19_P00317990,
A_19_P00317996,
A_19_P00317999,
A_19_P00318006,
A_19_P00318012,
A_19_P00318013,
A_19_P00318014,
A_19_P00318016,
A_19_P00318024,
A_19_P00318025,2138
A_19_P00318028,
A_19_P00318029,
A_19_P00318034,
A_19_P00318035,
A_19_P00318036,
A_19_P00318037,5462
A_19_P00318040,
A_19_P00318045,
A_19_P00318052,
A_19_P00318054,
A_19_P00318057,26234
A_19_P00318059,
A_19_P00318062,
A_19_P00318066,
A_19_P00318070,
A_19_P00318076,
A_19_P00318078,
A_19_P00318082,
A_19_P00318085,
A_19_P00318087,
A_19_P00318091,
A_19_P00318095,
A_19_P00318096,
A_19_P00318097,
A_19_P00318098,1809
A_19_P00318105,
A_19_P00318107,
A_19_P00318110,
A_19_P00318112,
A_19_P00318113,
A_19_P00318114,
A_19_P00318116,
A_19_P00318120,
A_19_P00318121,
A_19_P00318131,
A_19_P00318133,
A_19_P00318135,79149
A_19_P00318137,
A_19_P00318138,
A_19_P00318140,
A_19_P00318142,
A_19_P00318148,
A_19_P00318152,
A_19_P00318154,
A_19_P00318158,
A_19_P00318165,
A_19_P00318167,
A_19_P00318170,
A_19_P00318172,140688
A_19_P00318174,
A_19_P00318175,
A_19_P00318181,
A_19_P00318183,
A_19_P00318187,
A_19_P00318189,
A_19_P00318191,
A_19_P00318196,
A_19_P00318199,
A_19_P00318202,
A_19_P00318205,
A_19_P00318207,
A_19_P00318208,
A_19_P00318212,
A_19_P00318213,
A_19_P00318216,
A_19_P00318217,
A_19_P00318218,
A_19_P00318222,
A_19_P00318226,
A_19_P00318227,
A_19_P00318230,
A_19_P00318232,729993
A_19_P00318236,
A_19_P00318238,
A_19_P00318243,
A_19_P00318246,
A_19_P00318254,
A_19_P00318255,
A_19_P00318261,
A_19_P00318262,
A_19_P00318271,
A_19_P00318272,
A_19_P00318277,
A_19_P00318280,
A_19_P00318283,
A_19_P00318284,
A_19_P00318288,
A_19_P00318291,
A_19_P00318292,
A_19_P00318295,
A_19_P00318296,
A_19_P00318297,
A_19_P00318304,
A_19_P00318310,
A_19_P00318314,
A_19_P00318318,
A_19_P00318323,
A_19_P00318328,
A_19_P00318329,
A_19_P00318331,4925
A_19_P00318343,2138
A_19_P00318346,
A_19_P00318348,2589
A_19_P00318352,
A_19_P00318354,79149
A_19_P00318359,
A_19_P00318361,
A_19_P00318363,
A_19_P00318366,
A_19_P00318370,
A_19_P00318372,
A_19_P00318373,
A_19_P00318375,
A_19_P00318380,
A_19_P00318384,
A_19_P00318390,
A_19_P00318396,
A_19_P00318398,
A_19_P00318399,
A_19_P00318403,
A_19_P00318404,
A_19_P00318408,
A_19_P00318409,
A_19_P00318413,
A_19_P00318415,
A_19_P00318418,6916
A_19_P00318421,
A_19_P00318422,
A_19_P00318425,100288413
A_19_P00318427,
A_19_P00318429,
A_19_P00318431,
A_19_P00318438,23189
A_19_P00318441,
A_19_P00318443,
