"ENTREZ_GENE_ID","expressed","top"
"7185","1","0"
"54542","1","0"
"3833","0","0"
"55540","0","0"
"10758","0","0"
"8908","0","0"
"131566","0","0"
"6317","0","0"
"6646","1","0"
"5318","0","0"
"4438","0","0"
"2155","0","0"
"2665","1","0"
"639","1","0"
"9474","1","0"
"57458","0","0"
"57095","1","0"
"57504","0","0"
"8975","0","0"
"23200","1","1"
"3918","0","0"
"5218","0","0"
"29927","1","0"
"4659","1","1"
"5923","0","0"
"816","0","0"
"9696","0","0"
"55718","1","0"
"493","1","0"
"9877","1","0"
"55781","1","0"
"54432","0","0"
"55706","1","0"
"1608","0","0"
"84256","1","0"
"64718","0","0"
"6916","0","0"
"64761","1","0"
"5832","0","0"
"6894","1","0"
"5188","0","0"
"4084","1","0"
"5128","1","1"
"548645","0","0"
"6515","1","1"
"5662","0","0"
"9150","1","0"
"8531","1","0"
"55359","0","0"
"65125","1","0"
"55749","1","1"
"11054","0","0"
"2769","0","0"
"84699","0","0"
"55650","0","0"
"10076","0","0"
"9410","1","0"
"23504","0","0"
"1301","0","0"
"79832","0","0"
"51660","1","0"
"30","1","0"
"586","0","0"
"51564","1","0"
"11178","0","0"
"93166","0","0"
"7478","0","0"
"6676","0","0"
"10787","0","0"
"60488","1","0"
"2983","0","0"
"6433","1","0"
"10188","0","0"
"23041","1","0"
"1001","0","0"
"416","0","0"
"65056","1","1"
"84649","0","0"
"7771","0","0"
"1431","1","0"
"4058","0","0"
"64951","0","0"
"63916","1","0"
"23063","1","1"
"81671","1","0"
"10513","1","0"
"5424","0","0"
"124925","0","0"
"1975","1","1"
"28968","0","0"
"29998","0","0"
"56848","0","0"
"6141","1","1"
"770","0","0"
"79763","0","0"
"11338","0","0"
"29924","0","0"
"55588","1","0"
"57491","0","0"
"2928","0","0"
"10838","0","0"
"105373378","0","0"
"8776","1","0"
"2817","0","0"
"57143","0","0"
"3029","0","0"
"6047","1","0"
"841","1","1"
"22998","0","0"
"55726","0","0"
"51768","1","0"
"1747","0","0"
"53340","0","0"
"10077","1","0"
"8839","0","0"
"58524","0","0"
"10402","0","0"
"9914","0","0"
"4804","0","0"
"50937","0","0"
"6873","1","0"
"28996","0","0"
"23534","1","0"
"8625","0","0"
"54929","0","0"
"9170","1","0"
"5476","0","0"
"10147","0","0"
"6558","1","0"
"28966","0","0"
"2139","0","0"
"1265","1","0"
"10347","1","0"
"9627","0","0"
"11218","1","0"
"53339","1","0"
"55711","0","0"
"8537","0","0"
"5449","0","0"
"1117","0","0"
"22904","0","0"
"5378","0","0"
"10362","0","0"
"10203","0","0"
"6882","1","0"
"23294","0","0"
"8943","1","0"
"7629","0","0"
"9351","0","0"
"4913","0","0"
"54887","1","0"
"2773","1","0"
"3843","1","0"
"4942","1","0"
"10885","0","0"
"5586","1","0"
"57418","0","0"
"9697","0","0"
"9423","0","0"
"9340","0","0"
"55388","0","0"
"1606","1","0"
"2065","0","0"
"54763","0","0"
"91526","1","1"
"3735","1","1"
"23536","0","0"
"10954","0","0"
"55633","0","0"
"4710","1","0"
"23013","1","1"
"4638","0","0"
"55854","1","1"
"6416","1","0"
"55248","0","0"
"9892","0","0"
"9748","1","0"
"51167","1","0"
"1308","0","0"
"119391","0","0"
"55176","0","0"
"5588","1","0"
"7089","0","0"
"51665","0","0"
"83641","1","1"
"4199","0","0"
"23216","1","0"
"8621","1","0"
"10797","1","0"
"84679","0","0"
"55810","1","0"
"4904","1","0"
"5141","1","0"
"5525","1","1"
"1496","0","0"
"1994","1","0"
"7075","0","0"
"57609","1","0"
"6602","1","0"
"9682","0","0"
"4802","1","0"
"84217","0","0"
"6550","0","0"
"25791","0","0"
"259266","0","0"
"8832","1","0"
"64834","1","0"
"6688","0","0"
"30834","0","0"
"744","0","0"
"51208","0","0"
"27107","1","0"
"4287","1","0"
"9950","0","0"
"2263","0","0"
"55631","1","0"
"51015","1","0"
"2009","0","0"
"60487","0","0"
"55623","1","0"
"91283","0","0"
"26153","0","0"
"55102","1","0"
"10565","1","0"
"348158","0","0"
"57623","0","0"
"9650","0","0"
"10734","0","0"
"2235","0","0"
"4649","1","0"
"8653","0","0"
"5214","0","0"
"3422","1","1"
"6672","1","1"
"1316","1","1"
"8611","0","0"
"4756","0","0"
"23471","1","1"
"5255","0","0"
"7132","0","0"
"782","0","0"
"7813","0","0"
"9399","0","0"
"5315","1","0"
"54505","1","0"
"30836","1","1"
"79091","0","0"
"7158","1","0"
"7216","0","0"
"51018","1","0"
"387","1","1"
"1659","1","0"
"5382","0","0"
"5590","0","0"
"7544","0","0"
"55699","1","0"
"6857","0","0"
"89795","0","0"
"3421","1","0"
"79641","0","0"
"57595","0","0"
"492","0","0"
"6093","1","1"
"865","1","0"
"5165","0","0"
"8692","0","0"
"9759","0","0"
"11186","1","1"
"2261","0","0"
"3430","0","0"
"63897","0","0"
"80347","0","0"
"79990","0","0"
"4205","0","0"
"55593","1","0"
"7030","0","0"
"4943","1","0"
"2182","1","0"
"3632","0","0"
"27238","0","0"
"56850","1","0"
"24140","1","0"
"55771","0","0"
"65055","0","0"
"23250","0","0"
"25885","0","0"
"9741","1","0"
"57217","1","0"
"51447","1","1"
"286749","0","0"
"55133","0","0"
"3796","1","0"
"10235","1","0"
"23198","1","1"
"57560","0","0"
"22933","1","0"
"27248","1","0"
"5526","0","0"
"5837","0","0"
"8712","0","0"
"5307","0","0"
"57113","0","0"
"375449","0","0"
"221395","0","0"
"54549","0","0"
"8756","0","0"
"55746","1","0"
"64710","1","0"
"55737","1","0"
"10294","1","0"
"602","1","0"
"8514","1","0"
"10060","0","0"
"51083","0","0"
"29121","1","1"
"139341","0","0"
"4129","0","0"
"6095","1","1"
"1815","0","0"
"7049","1","1"
"8399","0","0"
"54626","0","0"
"483","1","0"
"4734","0","0"
"9488","0","0"
"5597","1","0"
"10681","1","0"
"5873","1","0"
"27440","0","0"
"7353","1","0"
"4040","0","0"
"2984","0","0"
"6343","0","0"
"57661","0","0"
"8518","1","0"
"4925","1","0"
"5217","0","0"
"5774","0","0"
"6710","0","0"
"27071","0","0"
"2255","0","0"
"23446","0","0"
"54916","0","0"
"23293","1","0"
"10640","1","0"
"8218","0","0"
"27006","0","0"
"10272","0","0"
"9993","0","0"
"55658","1","0"
"4335","0","0"
"79364","1","0"
"23210","1","1"
"5423","1","0"
"55808","0","0"
"55062","0","0"
"22844","0","0"
"57704","0","0"
"3340","0","0"
"440","1","0"
"10947","1","0"
"1258","0","0"
"10610","0","0"
"1103","0","0"
"26986","1","1"
"10420","0","0"
"29105","1","0"
"1459","1","0"
"11099","0","0"
"8891","0","0"
"815","0","0"
"6949","1","0"
"998","1","0"
"26031","1","0"
"2046","0","0"
"6559","0","0"
"56852","0","0"
"490","1","1"
"29850","0","0"
"8440","0","0"
"9448","1","1"
"11320","1","0"
"6160","1","0"
"9948","1","0"
"23161","1","0"
"54860","0","0"
"79658","0","0"
"6196","0","0"
"54556","1","0"
"22846","0","0"
"29995","0","0"
"114049","1","0"
"6400","1","0"
"9319","0","0"
"537","1","0"
"6929","0","0"
"28951","1","0"
"26528","0","0"
"53615","0","0"
"51052","0","0"
"6596","0","0"
"9130","0","0"
"60343","0","0"
"29894","1","0"
"140469","0","0"
"79901","0","0"
"28513","0","0"
"5134","1","0"
"55117","0","0"
"51109","1","0"
"5566","0","0"
"22859","0","0"
"6694","0","0"
"87","0","0"
"23503","0","0"
"27330","0","0"
"22905","0","0"
