"GSM60733.CEL.gz","GSM60734.CEL.gz","GSM60735.CEL.gz","GSM60736.CEL.gz","GSM60737.CEL.gz","GSM60738.CEL.gz","GSM60739.CEL.gz","GSM60740.CEL.gz","GSM60741.CEL.gz","GSM60742.CEL.gz","GSM60743.CEL.gz","GSM60744.CEL.gz","GSM60745.CEL.gz","GSM60746.CEL.gz","GSM60747.CEL.gz","GSM60748.CEL.gz","GSM60749.CEL.gz","GSM60750.CEL.gz","GSM60751.CEL.gz","GSM60752.CEL.gz","GSM60753.CEL.gz","GSM60754.CEL.gz","GSM60755.CEL.gz","GSM60756.CEL.gz","GSM60757.CEL.gz","GSM60758.CEL.gz","GSM60759.CEL.gz","GSM60760.CEL.gz","GSM60761.CEL.gz","GSM60762.CEL.gz","GSM60763.CEL.gz","GSM60764.CEL.gz","GSM60765.CEL.gz","GSM60766.CEL.gz"
"13924|13924",2.076947166,2.158020053,2.129424232,2.205940018,2.051682657,1.924844832,2.031731882,2.025700174,1.979976635,2.020252682,2.072571893,2.056992821,2.013154415,2.087820485,2.100476848,2.133953492,2.091784443,2.150576851,1.987961723,2.105096911,2.156375,2.126742267,2.19240508,1.994701444,2.1041132,1.952704315,2.112864153,2.003024574,2.030716072,2.037423212,2.135255936,1.910830017,2.078943895,2.041705343
"19125",1.988831722,2.014359801,2.081362654,2.225009312,2.070608797,2.087590094,1.954933325,1.99464223,2.009810756,2.054921322,2.128183727,2.200144655,2.027732861,1.983174168,2.126812007,2.096193701,2.130585893,2.068504148,2.011662798,2.071501117,2.105849571,2.08910013,2.118503765,2.139901428,1.992624174,2.060628404,1.985855491,2.204747963,2.039329781,2.029023029,1.905910418,2.194455537,2.1682475,1.995694981
"8950",2.188255423,2.000379869,1.851724631,1.866831808,1.926031392,2.153804515,2.391738003,1.969559242,1.876747455,1.974506395,2.028776614,1.753454739,2.458837006,2.592342478,2.226896295,2.089171946,2.163298764,2.056867692,2.143972366,2.07185776,2.078250029,2.028204769,2.36927366,1.988713221,1.829627152,1.93131314,2.088547209,2.112294258,2.023196683,2.059980707,2.046761178,2.004302988,2.074396484,1.939986115
"20149",2.037157688,1.866452632,1.873171631,2.139394585,1.979209859,1.914163877,1.964335727,1.983471091,2.034460563,2.16029978,1.896313871,2.233488875,2.206312302,2.391583749,2.13542595,2.443277243,2.114304078,2.153184272,2.118282225,2.058216857,2.180113831,2.035014668,2.235063564,2.052506278,2.080552453,1.97767146,1.977136879,2.061676008,2.112369652,1.94941142,2.069130671,2.132430109,1.951532769,1.947214107
"30002",2.049045428,1.979824325,1.997922173,2.262328647,1.949488802,2.162140044,2.082146438,1.982427494,2.07383238,2.013572905,2.19062467,2.238397997,2.052956517,2.041586481,2.099820713,2.161005199,2.215232843,2.195410291,1.988884045,1.88447176,2.078250029,2.109187857,2.121810497,2.072586276,2.153807815,2.006672219,2.103537771,1.964765662,1.997478768,2.163944286,2.052626548,1.935998796,2.109729298,2.03046794
"28401",2.120981592,2.073733358,2.068948093,1.898787796,1.880787869,1.937553459,2.094128814,2.018853666,2.005667027,2.096149552,2.171965522,2.250895748,2.347369464,2.15848976,2.187882574,2.083236858,2.008332651,2.210477652,2.102262612,2.142351445,1.982069351,2.163117504,1.868294528,2.005203337,1.967254137,2.084355387,2.091411607,2.373371683,1.990122245,1.991205252,2.119353284,2.052844844,1.934451844,2.084799753
"11173",2.115416457,2.044357636,2.25931291,1.899608836,2.033511939,2.091346128,1.950537832,2.036555154,2.144572932,2.129460778,2.102006355,2.313621521,2.021575243,2.346986998,2.127633055,2.028951837,2.000521117,2.06017515,2.118744068,1.867424638,2.090940671,2.073011928,2.10618768,1.947152683,2.084042785,2.084854169,1.948384944,2.112717332,1.933278268,2.093574485,2.101278684,2.243791515,2.029800587,2.091517826
"1382",1.96152252,1.875416628,2.006504986,2.146209881,1.947951444,2.058630849,1.996609059,1.857388776,2.17872474,1.920642481,2.193482852,2.043162671,2.055076113,2.262170922,2.12395747,2.221637213,2.059906877,2.065512486,2.205458254,2.105096911,2.308521343,2.144640613,2.049912797,2.065008194,2.177858686,2.175785566,2.034874415,2.034405457,2.105910229,2.329525876,1.989942531,2.062175857,1.971086894,2.057271514
"1274",2.149328209,2.041718829,2.095968234,2.152822905,1.959071075,2.014467398,2.021370959,2.08327664,2.093003821,2.001883117,2.129765807,2.369250871,2.077263288,1.94573072,1.983228645,2.018704957,2.041979339,2.074152613,2.068499547,2.189702044,2.19222837,2.191617526,2.099545962,2.051193353,2.046896702,2.031731882,2.006239997,2.156738364,2.106545021,2.263573971,2.189734798,2.142889239,1.901507103,2.099762429
"17787",2.029003781,1.994093387,2.063755938,2.22123204,2.002892134,2.114569061,1.841416377,2.056640129,2.066838664,1.934912266,2.111896351,2.169416587,2.013041427,2.032775911,2.153276976,2.0520639,2.270767954,2.122910836,2.017888959,2.395069809,2.253383081,2.139166748,2.167136802,2.182384993,1.977672384,2.072408407,2.033654654,2.218467229,2.088675566,1.928604375,2.071948856,2.151542115,2.154264358,1.914953466
