ENTREZ_GENE_ID,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state,pos,0.5,top 0.25
55763,25132,45227,24434,17405,17695,17406,17749,19803,1.0,1,0
55770,39316,43813,46874,16927,16690,17012,14182,21824,1.0,1,0
11336,37552,55938,46124,30552,22102,29173,12358,36260,1.0,1,0
90332,0,0,0,0,0,0,0,0,0.0,0,0
91828,9203,0,0,0,0,0,0,0,0.125,0,0
60412,31785,57555,33234,27017,24536,19459,16979,30195,1.0,1,0
10640,31074,30184,23790,19627,12896,13846,7282,16634,1.0,1,0
54536,20602,11644,9497,4820,7925,2901,3293,4320,1.0,1,0
23233,4515,3680,8521,7183,5074,5830,3550,6165,1.0,1,0
23265,34955,36233,34871,19218,17720,17085,16613,19938,1.0,1,0
149371,40815,32934,26714,26105,19015,34029,16852,29779,1.0,1,0
9941,15722,10546,0,6989,11492,9997,0,9944,0.75,1,0
51013,278007,209854,161206,136151,59361,89062,42427,95029,1.0,1,1
5394,114121,125162,118127,86434,66740,76370,81482,79404,1.0,1,1
23404,334181,213143,250069,126288,102150,104976,78424,131048,1.0,1,1
51010,152160,160390,145366,109428,81882,69541,68484,107951,1.0,1,1
54512,228943,229399,200501,142868,74027,132270,82236,109747,1.0,1,1
56915,190252,146874,132887,118962,56467,70228,72408,80946,1.0,1,1
118460,96327,154676,158273,112045,52103,41717,49508,58902,1.0,1,1
23016,165251,81716,108676,95554,53502,74071,62937,75572,1.0,1,1
11340,43502,78743,103359,111289,76922,84740,89366,103176,1.0,1,1
5393,98769,75886,69265,59674,42418,40298,42440,46522,1.0,1,1
2131,0,0,0,1298,0,0,0,0,0.125,0,0
2132,7322,0,1930,0,965,0,0,860,0.5,0,0
2135,0,0,0,0,0,0,0,0,0.0,0,0
2140,2762,2936,404,2501,7960,0,36928,55564,0.875,1,0
2145,922,0,5598,0,4215,7284,5790,4675,0.75,1,0
2146,33253,49320,57066,31728,1325,979,1559,949,1.0,1,0
7430,1007112,1387957,1195961,841952,410269,323898,464265,530115,1.0,1,1
2159,0,0,0,0,0,0,1177,576,0.25,0,0
2160,216,0,0,0,0,0,1832,0,0.25,0,0
50848,38899,21204,21571,13681,24449,31493,29265,25895,1.0,1,0
2161,9803,586,189,3783,0,0,10281,8094,0.75,1,0
2162,7700,248,1491,82,0,45,102,8,0.875,1,0
2165,643,1360,0,427,111,0,5954,5483,0.75,1,0
2147,379904,75053,47923,95964,25310,16629,293748,287892,1.0,1,1
2149,0,0,0,0,0,0,0,0,0.0,0,0
9002,0,0,0,0,0,0,0,0,0.0,0,0
2153,2726,1073,1146,1953,203,3624,3756,11062,1.0,1,0
8263,47425,58364,61436,34489,17660,29558,18644,31961,1.0,1,0
2158,608,342,0,2707,0,246,13919,9039,0.75,1,0
2166,0,2199,0,2472,0,47062,0,7426,0.5,0,0
2168,0,0,0,0,0,0,0,0,0.0,0,0
2170,6874,6764,5126,0,0,0,0,0,0.375,0,0
