Majority protein IDs,Gene names,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state
P12821;A0A0A0MSN4;P12821-2;P12821-4;P12821-3,ACE,0,0,0,0,0,0,0,0
P12838,DEFA4,0,0,0,0,0,0,5728,0
P12931;P12931-2,SRC,82916,69080,81584,1023,49183,65835,11403,20189
P12955;P12955-3;P12955-2,PEPD,246186,143502,132398,75674,69628,98817,71282,130391
P12956;P12956-2,XRCC6,2745946,2917082,2875987,2592838,3060511,2776314,2162613,3284075
P13010,XRCC5,3478925,3424345,3167947,2130879,2521775,2550949,2284449,3143616
P13051,UNG,30115,22661,21271,14229,9993,7150,10471,8747
P13051-2;F5GYA2;Q68DM5,UNG;DKFZp781L1143,5189,4134,3902,0,0,0,0,4407
P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0,COX4I1,1747279,1555398,1794496,1391299,1239157,1408214,1890782,2127511
P13196,ALAS1,2754,2483,2290,1807,1278,0,0,0
P13224;P13224-2,GP1BB,1811,1409,1842,589,161,3068,0,0
Q8NHW4;P13236,CCL4L1;CCL4,0,0,0,0,0,0,0,0
P13284,IFI30,11049,66399,42898,10605,5717,4460,14184,4698
P13473-2;P13473-3;H0YCG2,LAMP2,132301,64033,112427,51595,54718,68702,82813,108439
P13489,RNH1,1431343,1098273,787244,554173,776428,940050,778270,1218737
P13498,CYBA,1501,4137,54244,29096,1680,10206,8133,873
P13500,CCL2,0,0,0,0,0,0,0,0
P13501,CCL5,0,0,0,0,0,0,0,0
P13591;A0A087WX77;P13591-5,NCAM1,126,22,18,136,42,8,47,31
P13591-1;A0A087WTF6;A0A087WWD4;A0A087WV75;P13591-4;P13591-3;A0A087WTE4,NCAM1,0,0,0,0,0,0,0,0
P13598;J3QRT5;J3QKR4;J3QQX6;J3QRQ1;J3QQR8,ICAM2,11151,8519,32859,18649,14534,26575,21914,29232
P13611;P13611-5;P13611-2;E9PF17;P13611-3;D6RGZ6;P13611-4,VCAN,0,107,0,0,157,1103,121,144
P13612;E7EP60,ITGA4,182180,125127,195133,207609,9708,12853,12661,19189
P13639,EEF2,7325005,7404541,6424663,4935625,2378045,2497088,1719692,2954941
P13646,KRT13,47888,27748,28841,56675,21864,1594,0,0
P13667,PDIA4,977066,747728,631132,643120,342772,319555,402639,419388
P13671,C6,2692,45,64,2238,98,103,41173,34157
P13674;P13674-2;P13674-3,P4HA1,127235,218293,150340,42960,0,197,295,766
P13686,ACP5,0,25501,934,0,0,0,0,0
P13688;P13688-8;P13688-10,CEACAM1,99,55,4440,6745,0,0,12,129
P13716;P13716-2,ALAD,237127,128507,151969,111225,171833,172455,144711,298366
P13727;P13727-2,PRG2,38,105,11,12,222,619,117,55
P13746;P13746-2,HLA-A,0,0,0,0,0,0,0,0
P13747;Q6DU44,HLA-E,53465,58526,72208,55087,46064,77491,26913,74418
P13760,HLA-DRB1,0,0,0,0,0,0,0,0
P13761,HLA-DRB1,3645,0,4070,3051,0,0,0,0
P13762,HLA-DRB4,8789,0,2205,0,0,0,0,0
P13765;H0Y4X4,HLA-DOB,0,0,0,0,0,0,0,0
P13796,LCP1,15040886,10985887,10176373,6601201,6504763,6318681,5236831,7110171
P13797;A0A0A0MSQ0;P13797-2;P13797-3,PLS3,12071,6652,11959,0,392,1053,1185,2621
P13804;P13804-2;H0YLU7;H0YNX6;H0YK49;H0YL12,ETFA,2286633,1438898,1281038,881622,995701,1029924,1090143,1306487
P13807,GYS1,115177,104296,78061,34920,47274,49562,37643,55922
P13861;P13861-2,PRKAR2A,194544,134327,158816,172683,289192,310505,335960,419828
P13928;Q5T2P8;Q5VT79;B4DTF2;A0A075B765;A0A0B4J2D4;A0A087WTN9;A0A087WUP0;A0A0B4J2F9;A0A075B752;P13928-2;Q5T2P8-2;Q5VT79-2,ANXA8;ANXA8L1;ANXA8L2,0,0,0,0,0,0,0,2813
P13929;P13929-2;P13929-3;E5RGZ4;K7EPM1,ENO3,36836,24816,17214,3555,2908,3994,2215,5222
P13984,GTF2F2,147463,201850,139436,113952,61505,49029,66666,67972
P13987;E9PNW4;E9PR17;H0YET2,CD59,124662,229668,182191,536376,335522,280977,221765,363673
P13994;K7ELI4,CCDC130,193,796,0,0,1336,0,0,0
P13995;P13995-2;B8ZZU9,MTHFD2,559693,734736,478545,205876,0,0,0,0
P14151;P14151-2,SELL,15171,16566,13800,38065,22966,84823,40017,68980
P14174,MIF,10314906,7313719,7321934,3680638,1935864,2536536,1709511,3545947
P14209;P14209-3;P14209-2,CD99,60473,134035,189951,336322,128690,309465,219683,281263
P14210;P14210-3;C9JS80;C9JDP4;C9WSJ3;P14210-6;P14210-5;P14210-2;P14210-4,HGF,0,0,0,0,0,0,0,0
P14222,PRF1,416,440,501,162,328,119,79,230
P14316;P14316-2;K4DIA5;D6R9N5;D6RB08,IRF2,33890,35617,35929,21508,20122,16141,19371,26860
P14317;E7EVW7,HCLS1,2003023,1218124,1286133,1048934,985551,1232328,1164065,1431118
P14324;P14324-2;A0A087WVN4;A0A087X090,FDPS,596398,373978,441472,221386,128796,78016,74669,125552
P14373;P14373-2,TRIM27,4593,3463,5411,9033,3575,4358,4303,6226
P14384;F8W111,CPM,401,13221,5908,2663,999,0,488,0
P14406;D6RIE3;H0UI06;D6R9C3;D6RGV5,COX7A2,1065977,994751,1176770,962716,1156404,1519452,1251612,1861055
P14543;P14543-2,NID1,109,158,247,0,100,38,0,0
P14550,AKR1A1,1038007,824605,662857,371528,392051,497785,233946,475725
P14598,NCF1,756,662,255,307,168,42,14,30
P14618;P14618-3;B4DNK4;H3BQ34,PKM,1621851,1403121,946888,572887,299586,275468,172664,246348
P14618-2;H3BTN5;H3BR70,PKM,11612590,13757397,10599258,7202185,3722431,4149736,2563987,4230152
P14621;U3KPX1,ACYP2,19982,21074,27231,28122,14806,7514,27015,62359
P14625,HSP90B1,2329422,1992532,1742486,1285681,457427,442560,584278,607162
P14635;E9PC90,CCNB1,16622,10418,15316,20628,0,1436,0,0
P14649;F8W1I5,MYL6B,2674,12552,9876,6222,0,0,0,0
P14735;P14735-2,IDE,102396,101509,99557,71152,20383,22620,15823,26729
P14770,GP9,0,0,0,0,0,0,0,0
P14780,MMP9,18,1,1,0,0,14,1,6
P14784,IL2RB,0,3548,281,1569,0,727,98,470
P14854,COX6B1,1197439,624904,664224,866287,929082,862392,948137,1098943
P14859-2;P14859;A0A0C4DG88;P14859-4;P14859-5;P14859-3;P14859-6;A0A0A0MT46,POU2F1,6706,5973,5104,634,4436,4641,4206,4547
P14866;M0QXS5;P14866-2,HNRNPL,2583330,2357364,2061422,1490989,1149890,1228529,1239789,1591140
P14868;P14868-2,DARS,1290348,1525969,1312183,713615,365174,434461,293197,477780
P14902,IDO1,0,0,116,0,0,47,0,0
P14921;P14921-3;P14921-2;P14921-5,ETS1,197018,104187,136840,85966,41598,55890,63149,50402
P14923,JUP,0,0,153,3884,1409,3700,6226,1420
P14927,UQCRB,658412,475747,524895,582300,434380,418159,529313,690363
P15018,LIF,9574,10802,9454,0,0,0,0,0
P15056,BRAF,3532,4522,5018,2198,2183,0,1380,2795
P15088,CPA3,0,167,270,178,0,0,0,0
P15090;E5RIR0,FABP4,0,0,0,0,0,0,0,0
P15104,GLUL,33558,19895,98589,42224,11675,2431,42817,19227
P15121;E9PCX2,AKR1B1,1106325,664435,683120,432119,846812,784308,504309,1036877
P15144,ANPEP,26,125,37,129,34,14,24,64
P15153;B1AH80;B1AH78,RAC2,281926,338544,528579,507605,602014,563282,418682,601490
P15169,CPN1,0,0,0,404,0,0,2046,2144
P15170-3;P15170-2;P15170;H3BR35,GSPT1,638275,620398,608028,451636,221170,179832,175129,251284
P15260,IFNGR1,59014,42167,43385,15364,0,0,0,0
P15291-2;P15291,B4GALT1,20669,18009,30316,15843,5037,0,6108,3478
P15309;P15309-2;P15309-3,ACPP,738,0,703,278,0,0,0,0
P15311;E7EQR4,EZR,1007112,1387957,1195961,841952,410269,323898,464265,530115
P15336;E9PBF9;P15336-4;H7C2N6;F5H629;P15336-2,ATF2,4671,6507,20877,8727,4680,6897,11965,13550
P15374;A0A087WTB8;Q5TBK7,UCHL3,291263,216735,197028,146708,110113,127182,101612,146108
P15391;P15391-2;A0A087WXJ7,CD19,0,344,568,0,0,0,0,0
P15408;C9JCN8;P15408-3;P15408-2,FOSL2,1138,2459,1887,2936,0,0,0,0
P15428;P15428-5;P15428-2;E9PBZ2;P15428-4;P15428-3,HPGD,22464,5929,13899,2537,0,2289,0,3047
P15498;A0A0A0MR07;P15498-2;F5H5P4;Q96D37,VAV1,107880,128273,128615,77978,175582,144686,125144,206155
P15509;P15509-7;P15509-2;P15509-5;P15509-8;P15509-3;F2Z3C9;P15509-4,CSF2RA,5148,5747,0,0,8058,10192,2310,3582
P15529;P15529-15;P15529-12;P15529-14;P15529-11;P15529-13;P15529-10,CD46,18609,13861,16908,31499,16347,25563,13901,37229
P15529-4;P15529-7;P15529-6;P15529-3;P15529-5;P15529-2;P15529-16,CD46,0,0,1689,7102,8454,9091,10995,13381
P15531;P15531-2;E7ERL0;E5RHP0,NME1,8090,574237,499463,1067989,199205,28106,125201,200643
P15586;H7C3P4;F6S8M0;P15586-2;H0YFA9,GNS,22186,24798,29392,8374,15396,7005,14343,15399
P15813,CD1D,0,0,0,0,0,0,0,0
P15814,IGLL1,0,0,0,0,0,0,0,0
P15848;P15848-2,ARSB,0,1216,0,0,92,226,42,53
P15880;H0YEN5;E9PMM9;E9PQD7;I3L404;E9PM36;E9PPT0,RPS2,4235181,4184907,3720306,3659041,2703430,2642719,2048296,3352376
P15884-2;A0A0D9SG78,TCF4,0,0,0,0,0,0,0,0
P15907;P15907-2,ST6GAL1,10569,4767,10651,24561,13212,10485,18751,8734
P15924;P15924-3;P15924-2,DSP,2942,73,4846,8035,744,1818,2438,881
P15927;P15927-2;Q5TEJ7,RPA2,1013401,704942,697000,342404,324680,390522,279329,417195
P15954;D6R9Z7,COX7C,862068,901810,648752,884692,578159,729063,558026,1251868
P15976;P15976-3;B7WNQ9;P15976-2,GATA1,0,0,0,0,0,0,0,0
P16035;B4DFW2;K7EIX4,TIMP2,0,0,0,0,0,0,0,2578
P16050;P16050-2,ALOX15,65,9,32,71,0,9,0,0
P16070;P16070-4;P16070-3;P16070-7;P16070-5;P16070-11;P16070-10;P16070-16;P16070-8;P16070-17;P16070-6;H0YD13;P16070-18;P16070-12;P16070-14;P16070-13;H0Y2P0;H0YE40,CD44,233107,161589,194494,276682,188273,326506,320059,290807
P16083;Q5TD07,NQO2,44043,13490,45949,5937,15610,4282,16375,19313
P16104,H2AFX,0,0,5600,2399,4945,4413,3772,8245
P16109;Q5R349;Q5R345;Q5R341;Q5R342;F6VVT6,SELP,45,0,0,0,0,0,270,196
P16144-3;P16144;P16144-2;P16144-4,ITGB4,0,0,0,0,0,0,0,0
P16150;C9JUK7,SPN,178212,112347,141782,163247,74401,163033,181589,203396
P16152;E9PQ63;A8MTM1,CBR1,1313925,953684,795410,111528,663064,636089,386144,265307
P16157;P16157-8;P16157-5;P16157-16;P16157-3;P16157-12;P16157-14;P16157-10;P16157-9;P16157-6;P16157-7;P16157-4;P16157-13;P16157-15;P16157-11;P16157-2;H0YBS0,ANK1,0,55,0,358,950,2286,872,1826
P16188,HLA-A,0,777,157619,0,0,0,13199,0
P16189,HLA-A,0,0,8338,544,0,0,2106,0
P16219;E9PE82,ACADS,360845,236873,265856,133486,235817,362774,285012,285481
P16220;P16220-2;P16220-3;C9JBT4;C9J896,CREB1,132486,89909,103185,77205,85038,74038,97222,88937
P16260,SLC25A16,3814,0,4798,4193,0,0,0,0
P16278;P16278-3;E7EQ29;P16278-2,GLB1,49536,52246,54836,36514,29121,24414,43049,51118
P16284;P16284-6;P16284-3;P16284-2;P16284-5;P16284-4,PECAM1,10271,1750,5177,5662,17443,2441,28828,14978
P16298;P16298-4;P16298-3;Q5F2F8;P16298-2,PPP3CB,61302,59855,67218,28497,30279,23712,20254,39314
P16333;P16333-2;C9JAB9,NCK1,58948,45053,59965,22992,49165,48535,39475,73380
