genes,bHCnaiveB_S1R1,bHCnaiveB_S1R2,bHCnaiveB_S1R3,bSLEnaiveB_S1R1,bSLEnaiveB_S1R2,bSLEnaiveB_S1R3
ENSG00000010270,332,328,72,223,475,96
ENSG00000010278,82,173,165,187,15,7
ENSG00000010282,0,2,0,0,0,0
ENSG00000010292,249,395,71,385,853,201
ENSG00000010295,197,227,39,245,361,134
ENSG00000010310,0,7,1,12,5,3
ENSG00000010318,88,151,30,94,278,87
ENSG00000010319,1,1,0,0,23,23
ENSG00000010322,459,879,136,430,1222,279
ENSG00000010327,1,1,3,2,0,7
ENSG00000010361,36,94,15,60,41,41
ENSG00000010379,7,5,0,0,0,1
ENSG00000010404,152,162,65,75,350,103
ENSG00000010438,1,1,0,0,0,0
ENSG00000010539,74,203,60,164,338,60
ENSG00000010610,5,8,7,22,1,49
ENSG00000010626,55,22,4,55,8,9
ENSG00000010671,2145,3212,639,2785,3067,1490
ENSG00000010704,22,9,13,8,97,9
ENSG00000010803,312,372,76,168,220,143
ENSG00000010810,679,898,224,388,1221,360
ENSG00000010818,1542,2234,712,1439,3233,1135
ENSG00000010932,21,11,8,2,4,0
ENSG00000011007,362,874,182,403,1095,124
ENSG00000011009,48,118,22,119,145,48
ENSG00000011021,794,1543,436,1045,2164,513
ENSG00000011028,0,0,0,1,0,0
ENSG00000011052,0,0,0,0,0,0
ENSG00000011083,0,0,0,1,0,0
ENSG00000011105,0,1,0,6,0,0
ENSG00000011114,554,1112,277,644,3448,384
ENSG00000011132,104,100,9,70,78,33
ENSG00000011143,81,88,6,48,193,31
ENSG00000011198,72,159,49,78,223,51
ENSG00000011201,0,0,1,0,1,0
ENSG00000011243,168,412,65,200,577,109
ENSG00000011258,765,1422,557,787,2412,501
ENSG00000011260,433,630,174,348,544,198
ENSG00000011275,1089,1689,349,882,2672,532
ENSG00000011295,944,909,482,596,1291,362
ENSG00000011304,1176,1749,639,759,2636,733
ENSG00000011332,4,12,8,16,124,4
ENSG00000011347,0,0,0,3,0,0
ENSG00000011376,339,377,94,224,823,132
ENSG00000011405,1253,1639,576,992,4517,565
ENSG00000011422,10,4,8,3,2,32
ENSG00000011426,0,4,0,6,1,1
ENSG00000011451,163,255,77,105,594,77
ENSG00000011454,1490,1731,759,1309,2167,803
ENSG00000011465,1,2,1,6,2,0
ENSG00000011478,34,22,15,13,20,12
ENSG00000011485,207,408,60,243,547,188
ENSG00000011523,592,1585,537,896,2408,476
ENSG00000011566,328,234,113,108,2403,143
ENSG00000011590,49,23,23,16,294,31
ENSG00000011600,20,7,10,8,20,67
ENSG00000011638,25,28,9,99,29,22
ENSG00000011677,0,4,0,1,0,0
ENSG00000012048,72,107,38,88,317,63
ENSG00000012061,267,243,48,203,207,167
ENSG00000012124,6660,15309,2572,9694,44260,5568
ENSG00000012171,3,0,0,3,58,0
ENSG00000012174,158,227,142,194,538,139
ENSG00000012211,19,49,8,33,213,24
ENSG00000012223,0,0,0,0,0,0
ENSG00000012232,118,178,42,101,522,62
ENSG00000012504,0,1,0,1,0,0
ENSG00000012660,2869,3340,1425,2172,3677,1133
ENSG00000012779,765,2016,426,1441,2058,762
ENSG00000012817,2,1,449,2,0,0
ENSG00000012822,854,1746,376,876,5057,502
ENSG00000012963,245,474,111,321,879,243
ENSG00000012983,655,1179,534,767,1971,489
ENSG00000013016,456,268,80,286,2510,243
ENSG00000013275,173,344,107,289,408,175
ENSG00000013288,489,789,149,485,1369,273
ENSG00000013293,0,3,0,8,0,16
ENSG00000013297,1,3,1,1,0,4
ENSG00000013306,227,441,71,232,760,149
ENSG00000013364,175,173,42,209,326,119
ENSG00000013374,1123,1545,412,1552,3046,895
ENSG00000013375,418,485,69,199,632,105
ENSG00000013392,54,85,10,48,76,39
ENSG00000013441,3937,5552,4567,2565,4864,2276
ENSG00000013503,177,335,60,158,106,84
ENSG00000013523,361,416,52,232,602,202
ENSG00000013561,210,271,97,276,240,95
ENSG00000013563,64,46,13,38,76,31
ENSG00000013573,73,233,43,44,193,38
ENSG00000013583,17,58,18,66,24,20
ENSG00000013588,0,1,1,6,0,0
ENSG00000013619,91,60,9,83,360,13
ENSG00000013725,25,60,13,9,13,21
ENSG00000013810,195,395,155,277,792,189
ENSG00000014123,974,1560,608,1045,3174,622
ENSG00000014138,10,88,14,54,83,23
ENSG00000014164,68,174,21,91,582,54
ENSG00000014216,491,700,161,508,1092,323
ENSG00000014257,12,10,4,4,3,7
ENSG00000014641,518,582,229,374,526,241
ENSG00000014824,649,998,450,754,1373,390
ENSG00000014914,1,5,1,27,22,2
ENSG00000014919,359,453,135,504,885,311
ENSG00000015133,1198,2133,600,1090,2940,667
ENSG00000015153,592,716,252,265,802,152
ENSG00000015171,721,1094,565,770,1565,362
ENSG00000015285,296,522,123,453,1772,240
ENSG00000015413,0,1,0,1,1,0
ENSG00000015475,24,43,21,105,137,73
ENSG00000015479,1998,1630,845,516,1901,710
ENSG00000015520,8,3,0,3,0,0
ENSG00000015532,108,211,53,124,151,56
ENSG00000015568,0,1,0,0,6,0
ENSG00000015592,0,1,1,0,0,0
ENSG00000015676,420,620,178,517,801,296
ENSG00000016082,0,0,0,4,0,0
ENSG00000016391,5,0,0,0,0,0
ENSG00000016402,0,0,0,2,1,0
ENSG00000016490,0,2,0,0,0,0
ENSG00000016602,2,2,0,4,0,1
ENSG00000016864,270,565,162,377,816,198
