ENTREZ_GENE_ID,Express
100129827,0
100129842,1
100129845,0
100129858,0
100129878,0
100129917,0
100129924,0
100129931,0
100129935,0
100129940,0
100129969,0
100129995,0
10013,1
100130015,0
100130017,0
100130086,0
100130111,0
100130148,0
100130155,0
100130197,0
100130207,0
100130231,0
100130249,0
100130264,0
100130268,0
100130274,0
100130301,0
100130302,0
100130311,0
100130331,0
100130348,0
100130357,0
100130361,0
100130386,0
100130417,0
100130449,0
100130476,0
100130480,0
100130519,0
100130520,0
100130522,0
100130539,0
100130548,0
100130587,0
100130613,0
100130691,0
100130705,0
100130717,0
100130733,0
100130742,0
100130771,0
100130776,0
100130827,0
100130849,0
100130880,0
100130887,0
100130890,0
100130894,0
100130933,0
100130935,0
100130950,0
100130954,0
100130958,0
100130967,0
100130988,0
100131017,0
100131067,0
100131089,0
100131094,0
100131107,0
100131117,0
100131137,0
100131138,0
100131176,0
100131187,1
100131193,0
100131211,0
100131213,0
100131244,0
100131303,0
100131315,0
100131320,0
100131347,0
100131366,0
100131378,0
100131390,0
100131434,0
100131439,0
100131496,0
100131539,0
100131604,0
100131608,0
100131635,0
100131655,0
100131691,0
100131726,0
100131755,0
100131801,0
100131814,0
100131816,0
100131827,0
100131897,0
100131902,0
100131980,0
100131997,0
100132015,0
100132074,0
100132078,0
100132101,0
100132103,0
100132146,0
100132147,0
100132169,0
100132174,0
100132202,0
100132215,0
100132234,0
100132247,0
100132249,0
100132285,0
100132288,0
100132304,0
100132341,0
100132386,0
100132396,0
100132399,0
100132406,1
100132463,0
100132464,0
100132476,0
100132526,0
100132529,0
100132565,1
100132594,0
100132596,0
100132612,0
100132677,0
100132686,0
100132708,0
100132874,0
100132891,0
100132916,0
100132932,0
100132963,0
100132967,0
100132979,1
100132987,0
100132994,0
100133036,0
100133053,0
100133077,0
100133091,0
100133093,0
100133123,0
100133205,0
100133220,0
100133234,0
100133251,0
100133267,0
100133286,0
100133311,0
100133315,0
100133319,0
100133461,0
100133545,0
100133612,0
100133920,0
100133941,0
100133957,0
100133985,0
100134015,0
100134229,0
100134259,0
100134368,0
100134391,0
100134444,0
100134713,0
100134869,0
100134934,0
100134938,0
100137047,1
100137049,0
10014,0
100141515,0
100142659,0
100144595,0
100144597,0
100144602,0
100144603,0
100144748,0
100147744,0
10015,1
100151643,0
100151683,0
100151684,0
100158262,0
10016,0
100169751,0
100169752,0
100169753,0
100169754,0
100169755,0
100169756,0
100169757,0
100169758,0
100169759,0
100169760,0
100169761,0
100169762,0
100169763,0
100169764,0
100169765,0
100169766,0
100169767,0
100169768,0
100169851,0
100169989,0
10017,0
100170229,0
100170765,0
100170841,0
10018,0
100187716,0
100188847,0
100188893,1
100188949,0
100188953,0
100189589,0
10019,0
100190938,0
100190949,0
100191040,0
100192379,0
100192386,0
100192420,0
100192426,0
1002,0
10020,0
10021,0
100216001,0
10022,0
10023,0
100233156,0
100233209,0
10024,0
100240735,0
10025,0
10026,0
100268168,0
100270679,0
100270680,0
100271702,0
100271715,0
100271846,0
100271849,0
100271873,0
100271927,0
100272147,1
100286844,0
100286922,0
100286979,0
100287015,0
100287029,0
100287042,0
100287045,0
100287049,0
