genes,aHCnaiveB_S1R1,aHCnaiveB_S1R3,aHCnaiveB_S1R4,aSLEnaiveB_S1R1,aSLEnaiveB_S1R2,aSLEnaiveB_S1R3,aSLEnaiveB_S1R4
ENSG00000007312,765,14,77,20002,23843,10344,23358
ENSG00000007314,36,276,195,330,312,358,536
ENSG00000007341,148,126,58,497,436,299,475
ENSG00000007350,4,123,207,16,6,1,0
ENSG00000007372,3,351,477,1,1,1,2
ENSG00000007376,32,150,236,1682,1776,1447,2301
ENSG00000007384,1,168,256,6,7,29,29
ENSG00000007392,655,188,283,4912,5255,4969,7996
ENSG00000007402,6,136,260,103,92,142,162
ENSG00000007516,5,174,393,143,340,178,1114
ENSG00000007520,14,52,107,1252,1625,1264,2237
ENSG00000007541,37,204,325,1237,1179,1379,1942
ENSG00000007545,79,78,139,1833,1928,1628,1979
ENSG00000007866,0,70,68,3,6,4,6
ENSG00000007908,3,15,42,53,4,37,11
ENSG00000007923,160,293,304,1538,1405,1431,2083
ENSG00000007933,4,15,19,0,2,1,4
ENSG00000007944,833,42,89,14298,9483,7417,12709
ENSG00000007952,1,16,22,15,8,37,29
ENSG00000007968,13,106,140,173,96,20,78
ENSG00000008018,327,14,37,4613,4897,3300,5291
ENSG00000008056,0,47,40,0,0,3,3
ENSG00000008083,497,220,190,5955,6117,6110,9267
ENSG00000008086,55,201,90,400,614,409,634
ENSG00000008118,0,85,41,0,0,0,0
ENSG00000008128,11,41,48,335,218,364,384
ENSG00000008130,129,220,374,5171,5565,2897,5301
ENSG00000008196,1,136,110,0,0,0,0
ENSG00000008197,0,59,37,0,0,0,0
ENSG00000008226,29,146,149,78,68,70,83
ENSG00000008256,15,184,226,406,979,203,1527
ENSG00000008277,6,112,101,83,77,93,99
ENSG00000008282,2871,38,253,7137,9543,5664,8290
ENSG00000008283,7,143,130,237,117,348,130
ENSG00000008294,231,74,101,2440,2213,2037,3081
ENSG00000008300,33,455,765,101,94,58,124
ENSG00000008311,73,55,65,796,767,944,1081
ENSG00000008323,0,153,190,0,0,0,0
ENSG00000008324,119,69,90,1274,1190,850,1567
ENSG00000008382,4,31,90,461,423,340,509
ENSG00000008394,3,54,57,2,0,0,0
ENSG00000008405,87,89,55,529,564,438,647
ENSG00000008438,3,32,15,4,1,4,14
ENSG00000008441,14,76,107,193,243,306,458
ENSG00000008513,1403,260,192,10995,9457,7364,10717
ENSG00000008516,1,55,68,10,17,22,16
ENSG00000008517,1,46,67,0,1,2,2
ENSG00000008710,65,467,736,4596,5442,6455,6984
ENSG00000008735,2,179,155,28,32,48,51
ENSG00000008838,316,248,255,3679,3032,3204,4266
ENSG00000008853,168,76,113,6624,2101,3435,3996
ENSG00000008869,585,133,102,7833,7303,8771,14315
ENSG00000008952,416,50,139,5519,9162,6196,9258
ENSG00000008988,2075,102,236,67107,91229,88392,128198
ENSG00000009307,990,105,201,22799,25035,23173,29198
ENSG00000009335,484,101,117,4626,4771,3012,5112
ENSG00000009413,198,79,87,2571,2663,2039,2800
ENSG00000009694,0,63,72,1,0,0,0
ENSG00000009709,2,77,75,0,0,0,0
ENSG00000009724,9,127,81,285,242,579,496
ENSG00000009765,3,54,48,0,0,0,0
ENSG00000009780,188,81,60,900,1040,760,1142
ENSG00000009790,531,54,92,8290,7810,10181,11159
ENSG00000009830,73,249,267,721,579,721,1316
ENSG00000009844,154,20,26,1633,1254,1024,1676
ENSG00000009950,2,87,78,0,1,1,1
ENSG00000009954,592,113,187,5772,5409,3441,5307
ENSG00000010017,184,32,72,2309,2502,1514,2602
ENSG00000010030,0,95,108,4,0,12,12
ENSG00000010072,82,43,37,743,788,774,902
ENSG00000010165,234,66,137,783,898,427,753
ENSG00000010219,47,69,36,1214,1317,1293,1463
ENSG00000010244,922,171,160,7156,8445,9301,11654
ENSG00000010256,573,131,362,2622,3110,2372,3404
ENSG00000010270,214,27,36,1674,1678,897,1576
ENSG00000010278,14,73,50,462,783,12,757
ENSG00000010282,0,60,22,0,0,1,0
ENSG00000010292,433,102,194,3110,3087,2281,2493
ENSG00000010295,169,158,264,3024,2278,2267,3266
ENSG00000010310,3,190,227,39,15,10,4
ENSG00000010318,98,110,121,695,585,549,797
ENSG00000010319,4,136,127,1,3,3,0
ENSG00000010322,331,309,571,8350,7177,8348,9563
ENSG00000010327,7,406,690,5,2,1,3
ENSG00000010361,20,108,139,494,443,543,668
ENSG00000010379,2,69,46,9,7,5,15
ENSG00000010404,61,62,99,1019,729,846,912
ENSG00000010438,3,35,21,0,6,1,0
ENSG00000010539,73,84,142,522,285,190,436
ENSG00000010610,6,116,110,1,1,0,1
ENSG00000010626,20,57,85,240,209,324,188
ENSG00000010671,1052,86,156,11749,11727,7838,12802
ENSG00000010704,20,72,56,214,91,148,147
ENSG00000010803,204,52,58,950,1371,1052,2337
ENSG00000010810,447,57,91,1892,4764,2666,3383
ENSG00000010818,273,142,35,6612,5563,2814,3937
ENSG00000010932,8,24,18,12,88,5,59
ENSG00000011007,345,72,166,2221,2692,2595,4442
ENSG00000011009,66,22,25,1813,1633,1300,1969
ENSG00000011021,374,298,163,3974,3661,3873,5405
ENSG00000011028,3,205,249,2,3,7,6
ENSG00000011052,0,0,0,0,0,0,0
ENSG00000011083,2,97,86,0,0,0,1
ENSG00000011105,3,180,206,1,3,6,11
ENSG00000011114,330,84,69,1971,2160,1491,2073
ENSG00000011132,27,92,115,1691,1783,1751,2367
ENSG00000011143,57,264,142,190,216,257,250
ENSG00000011198,27,75,89,291,219,179,296
ENSG00000011201,3,42,35,0,0,0,0
ENSG00000011243,145,200,267,4528,3883,3468,5286
ENSG00000011258,192,95,90,4149,3818,3342,4915
ENSG00000011260,402,31,85,2180,2533,2167,2958
ENSG00000011275,526,187,270,5661,5094,6003,7398
ENSG00000011295,406,72,98,1822,2008,1684,2607
ENSG00000011304,354,227,451,13041,11656,10092,15146
ENSG00000011332,18,109,212,51,53,55,90
ENSG00000011347,3,84,123,0,0,0,1
ENSG00000011376,142,90,100,1101,1128,796,1153
ENSG00000011405,118,107,62,1927,2233,1628,2205
ENSG00000011422,1,118,59,9,9,4,2
ENSG00000011426,5,54,38,4,0,0,1
ENSG00000011451,26,256,413,1867,1838,1945,2482
ENSG00000011454,310,74,65,3155,2992,2119,3278
ENSG00000011465,0,71,41,0,0,0,0
ENSG00000011478,39,92,145,301,380,335,424
ENSG00000011485,101,129,114,1263,1771,1271,1581
ENSG00000011523,321,59,140,1574,1964,2273,3182
ENSG00000011566,42,103,89,491,470,174,704
ENSG00000011590,6,105,95,159,29,103,63
ENSG00000011600,2,12,25,2,5,1,0
ENSG00000011638,74,49,59,255,331,194,265
ENSG00000011677,0,39,8,0,0,0,0
ENSG00000012048,18,71,83,252,225,219,217
ENSG00000012061,115,124,151,1432,1580,1586,1886
ENSG00000012124,4073,114,462,61698,62494,62338,71368
ENSG00000012171,2,173,216,20,13,27,23
ENSG00000012174,62,138,85,451,469,406,552
ENSG00000012211,24,77,137,326,355,247,400
ENSG00000012223,3,165,93,0,0,0,0
ENSG00000012232,119,233,92,1022,1569,854,1589
ENSG00000012504,0,110,59,0,0,0,0
ENSG00000012660,1844,66,289,10866,10492,11178,21703
ENSG00000012779,1389,105,249,19256,14415,20264,24339
ENSG00000012817,0,0,1,0,0,0,0
ENSG00000012822,658,117,151,6649,5004,5030,7606
ENSG00000012963,286,84,74,2062,1876,901,2112
ENSG00000012983,164,55,73,3838,3909,3299,4510
ENSG00000013016,375,43,61,1387,1131,621,820
ENSG00000013275,193,49,33,2031,2146,1780,2432
ENSG00000013288,200,290,159,3928,3120,3343,3984
ENSG00000013293,1,63,45,0,0,0,0
ENSG00000013297,0,48,49,13,6,4,17
ENSG00000013306,84,78,132,2556,2847,3254,4009
ENSG00000013364,118,143,108,7553,5227,6495,5776
ENSG00000013374,387,125,198,6735,5976,3563,5422
ENSG00000013375,43,61,70,879,728,1027,1176
ENSG00000013392,7,80,89,245,250,435,306
ENSG00000013441,580,192,189,33710,21061,20445,28682
ENSG00000013503,30,38,65,314,366,215,350
ENSG00000013523,320,104,198,1382,1654,1074,1623
ENSG00000013561,160,114,132,979,1169,691,1121
ENSG00000013563,29,97,64,624,469,528,735
ENSG00000013573,147,191,114,4440,878,1326,1592
ENSG00000013583,52,27,40,170,306,213,253
ENSG00000013588,1,45,38,1,0,0,0
ENSG00000013619,34,105,58,293,313,181,473
ENSG00000013725,52,152,215,230,612,1041,849
ENSG00000013810,65,308,394,2443,2260,1624,2423
ENSG00000014123,125,54,49,3531,2513,3199,4338
