uniprot,symbol,naiveB_S1R1,naiveB_S1R2,naiveB_S1R3,naiveB_S1R4
P42566;B1AUU8;P42566-2,EPS15,598041,476863,477239,257659
P42568;P42568-2,MLLT3,0,0,0,0
P42574;A8MVM1,CASP3,1191486,1088382,566865,530444
P42575;P42575-2,CASP2,261817,273685,216929,111496
P42677;Q5T4L4,RPS27,664431,363313,461135,183623
P42680,TEC,6463,1897,4703,19864
P42681,TXK,0,8245,10045,5614
P42684;P42684-6;P42684-7;P42684-5;P42684-4;P42684-10;P42684-2;P42684-3;P42684-8,ABL2,0,0,0,0
P42694;J3QS41;P42694-2,HELZ,3270,7721,9322,3630
P42695;G3V1A9,NCAPD3,3863,22695,5380,9076
P42696;A2A2V2;P42696-2,RBM34,123532,68490,79525,83913
P42701;P42701-2;P42701-3,IL12RB1,0,0,0,0
P42704,LRPPRC,1553981,1664862,1179194,1119521
P42765;A0A0B4J2A4,ACAA2,1734229,1297978,1173668,804646
P42766,RPL35,4148521,2550594,3138481,636273
P42768,WAS,829337,858615,740276,429247
P42773,CDKN2C,0,49587,15229,0
P42785;P42785-2;E9PIG4;E9PQN3;E9PKN6,PRCP,85688,51277,80971,107859
P42830,CXCL5,0,0,0,335
P42858,HTT,99630,143186,116897,98368
P42892-2;P42892;P42892-3;B4DKB2;P42892-4,ECE1,10795,12046,11634,14867
P42898-2;P42898,MTHFR,81062,46499,61185,20394
P43004;P43004-2;P43004-3;H0YEB1,SLC1A2,0,0,0,0
P43007,SLC1A4,51677,37632,52253,27084
P43034,PAFAH1B1,804597,819687,740529,371448
P43121;P43121-2,MCAM,0,0,0,0
P43155;P43155-2;P43155-3,CRAT,26645,11979,28681,21095
P43234,CTSO,0,0,0,0
P43243;D6REM6,MATR3,2145723,2372188,1728494,1606913
P43243-2;B3KM87,MATR3,2321,0,0,0
P43246;E9PHA6;V9H019;P43246-2;A0A087X078;A0A087X1E7,MSH2,506284,377144,429679,252017
P43250-2;P43250;P43250-3;F8W9W2;D6RHX8,GRK6,148618,117599,131499,80868
P43251;P43251-4;P43251-3;P43251-2,BTD,0,0,0,0
P43304;P43304-2,GPD2,98659,90455,99381,74050
P43307;C9J3L8;C9J5W0;E9PAL7;C9IZQ1;P43307-2,SSR1,134462,174611,152714,107772
P43308,SSR2,0,0,0,0
P43353;A0A087X2D4,ALDH3B1,4,0,81,283
P43378;A0A0A0MR09,PTPN9,14135,11571,11069,3255
P43403;P43403-3,ZAP70,12000,84091,51136,62073
P43405;P43405-2,SYK,788576,957148,524669,658134
P43487;P43487-2;C9JXG8;C9JJ34,RANBP1,99608,31554,83378,0
P43489,TNFRSF4,0,222198,1788,0
P43490;A0A0C4DFS8,NAMPT,1901970,1757187,1136529,1227126
P43626;P43626-2,KIR2DL1,0,0,0,2533
P43627,KIR2DL2,0,0,0,0
P43628;P43628-2,KIR2DL3,0,0,0,0
P43629;W5QJC1;P43629-2,KIR3DL1,2548,0,1564,1797
P43630;P43630-2,KIR3DL2,0,0,0,485
P43631,KIR2DS2,0,0,0,0
P43652,AFM,0,622,2935,0
P43686;P43686-2,PSMC4,1671727,1222158,1252478,774325
P43897;P43897-2;C9JT21,TSFM,342792,349300,307763,222163
P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,VDAC2,1828881,1679728,2169136,2131382
P45954;P45954-2,ACADSB,146457,195376,110774,86420
P45973,CBX5,2096527,1780371,1943328,1018317
P45974-2;P45974,USP5,1027761,933742,824335,545231
P45983-3;P45983-4;P45983;P45983-2;P45983-5;A6NF29,MAPK8,28086,28044,20136,24613
P45984;P45984-2;P45984-3;P45984-4;J3KNK1;D7R525;P45984-5,MAPK9,78908,68524,59957,35764
P45985;P45985-2,MAP2K4,107755,68446,91463,68352
P46013-2,MKI67,1266,1174,1336,291
P46019,PHKA2,14674,14117,15999,26865
P46060,RANGAP1,1585962,1321581,1376906,664419
P46063,RECQL,1318970,1277449,1526031,1009293
P46087;P46087-4;P46087-2;A0A087WV73;P46087-3,NOP2,946595,857728,959231,907538
P46092,CCR10,0,0,0,0
P46100;P46100-4;P46100-3;P46100-5;P46100-2,ATRX,34539,22456,30545,21033
P46108;I3L297,CRK,41588,24344,33550,13168
P46109,CRKL,787907,776900,745320,465676
P46199,MTIF2,28581,32978,18555,20949
P46379;P46379-2;P46379-3;P46379-5;P46379-4;X6REW1,BAG6,238603,251794,201877,180397
P46527;H7C2T1,CDKN1B,13591,6105,13796,15180
P46531,NOTCH1,6590,6918,6094,3791
P46734;P46734-3,MAP2K3,351934,315029,255506,306202
P46734-2,MAP2K3,22395,0,9922,0
P46736;P46736-2;P46736-3;H9KVA9;A0A087WZR3;A0A0D9SF50;P46736-5;X6RJS7;P46736-4,BRCC3,622022,473821,453443,294404
P46776;E9PLL6;E9PJD9,RPL27A,7876564,4456618,6120909,4480600
P46777,RPL5,4282146,5492881,3610181,2619808
P46778;M0R181;G3V1B3,RPL21,3613419,3112139,3701918,2089604
P46779;H0YKD8;P46779-2;P46779-3;H0YMF4;P46779-4;P46779-5;H0YLP6,RPL28,4637560,6666044,3496653,7902234
P46781;B5MCT8;C9JM19,RPS9,9457542,9245681,8912242,11353045
P46783;F6U211,RPS10,1202661,1066910,382934,650779
P46926;D6R9P4;D6RAY7;D6RFF8;P46926-2;D6RB13,GNPDA1,355233,373522,283818,370405
P46934-4,NEDD4,0,0,0,0
P46939-2;P46939,UTRN,8726,8581,6628,2277
P46940;H0YLE8,IQGAP1,1767129,1654391,1764580,972386
P46952;C9IY88;P46952-2,HAAO,54304,70652,86945,2699
P46976-2;P46976;C9JQ42;P46976-3;G5E9W8,GYG1,128172,89037,149500,97138
P46977;P46977-2,STT3A,86264,68983,77839,77754
P47224,RABIF,260218,257328,272563,116474
P47712,PLA2G4A,0,3237,585,326
P47755;F8W9N7,CAPZA2,1208794,1201053,1122209,472080
P47756,CAPZB,0,0,0,0
P47756-2;B1AK87;B1AK88;B1AK85,CAPZB,7277335,6712812,5967066,2577747
P47813;X6RAC9,EIF1AX,1748645,775745,959652,307442
P47897;P47897-2,QARS,735284,804439,605586,646609
P47914,RPL29,5935798,7615708,4257797,5728861
P47929,LGALS7,0,0,0,0
P47985,UQCRFS1,593242,397278,777035,290822
Q9UBD3;P47992,XCL2;XCL1,0,0,0,0
P48023,FASLG,0,0,0,0
P48047,ATP5O,2640554,2587682,2503624,2671479
P48059,LIMS1,0,0,2604,0
P48059-2,LIMS1,0,44574,0,23602
P48059-5;P48059-4;P48059-3,LIMS1,215687,335157,206986,170228
P48060,GLIPR1,0,0,0,0
P48061;P48061-4;P48061-2;P48061-5;P48061-6;P48061-3,CXCL12,0,0,0,0
P48065,SLC6A12,0,0,0,0
P48147,PREP,331224,343179,314935,172140
P48163;P48163-2,ME1,10450,13333,8775,17200
P48382;F8W689;P48382-2,RFX5,46638,26317,26803,33787
P48426,PIP4K2A,499691,558550,429481,220870
P48444;B0YIW6;P48444-2,ARCN1,1319692,1411242,1077641,618823
P48449;P48449-3;P48449-2,LSS,49283,16509,77641,42573
P48454;P48454-3;P48454-2;G3V111,PPP3CC,20114,19255,17899,18471
P48506;E1CEI4,GCLC,33622,44953,34740,28983
P48507;P48507-2,GCLM,101710,277321,64398,57514
P48551;P48551-2;P48551-3,IFNAR2,2202,2741,0,0
P48553,TRAPPC10,17473,29130,18229,14996
P48595,SERPINB10,0,37,61,0
P48634;P48634-4,PRRC2A,80579,73742,65599,52022
P48637;P48637-2,GSS,302991,419661,212353,160555
P48643;E9PCA1;E7ENZ3,CCT5,6129416,4408652,4538764,3044530
P48651;P48651-3,PTDSS1,26547,26682,39511,40013
P48681,NES,0,3201,0,318
P48723,HSPA13,25378,28407,23643,28200
P48728;P48728-3;H0Y695;P48728-4;P48728-2,AMT,4252,23061,0,8281
P48729;P48729-3,CSNK1A1,242058,275418,195066,246628
P48730,CSNK1D,54723,30650,45774,23441
P48735;P48735-2,IDH2,2227639,2669630,2112437,1519230
P48736,PIK3CG,51774,49223,32443,9389
P48739;P48739-2;P48739-3;A0A0A0MSW4;B3KYB6;B3KYB7,PITPNB,934984,1119962,650764,393311
P48740,MASP1,10830,0,18646,0
P48960;P48960-2,CD97,158935,116534,101257,55255
P48960-3,CD97,0,0,0,0
P49005;F8W8R3;C9JLE1;C9IZD2;C9J8Z7,POLD2,358401,449104,277666,200402
P49006,MARCKSL1,434428,240065,323301,142859
P49023;F5GZ78;P49023-2;P49023-3,PXN,5020,36621,583,4710
P49023-4,PXN,0,0,0,0
P49069,CAMLG,10008,28612,0,0
P49116,NR2C2,12460,7804,12702,26355
P49116-2,NR2C2,0,0,0,0
P49137;P49137-2,MAPKAPK2,293989,420399,212859,215856
P49184;A6QRJ0;Q5HY40,DNASE1L1,0,0,0,0
P49189;P49189-2,ALDH9A1,1321698,1028769,1232184,865639
P49207,RPL34,2595290,13436664,2606257,10640436
P49238;P49238-3;P49238-4;P49238-2,CX3CR1,0,0,0,0
P49247,RPIA,794053,824491,712029,442038
P49257,LMAN1,176285,150181,197007,100655
P49279;Q9HBK0,SLC11A1,0,0,0,0
P49321;P49321-3;P49321-4,NASP,1851084,1528565,1526432,511030
P49321-2;Q5T624;E9PI86;E9PRH9;H0YF33,NASP,0,0,0,0
P49326;P49326-3,FMO5,0,0,0,0
P49327,FASN,1316064,1229813,851515,701731
P49354;E9PQP6;P49354-2;B3KVN2;H0YCW1,FNTA,218024,254960,115253,115892
P49356,FNTB,0,0,0,0
P49366;A0A087WZK0;P49366-3;P49366-2;Q5J8M5,DHPS,94021,80137,58831,115044
P49368;P49368-2;B4DUR8,CCT3,4976220,4594332,3433088,2748527
P49406;S4R3W9,MRPL19,201531,269716,180223,159344
P49407;E9PM35,ARRB1,0,0,0,0
P49407-2,ARRB1,1264,3077,1537,17469
P49411,TUFM,3242852,4531777,2687081,2045911
P49419-2;P49419;P49419-4;F8VS02;P49419-3,ALDH7A1,28898,38091,28877,30314
P49427,CDC34,30930,49053,30557,57825
P49441;C9J173;B8ZZF6;E7ET59;E7EUX4;E7ENF2,INPP1,24483,0,25195,18849
P49450;P49450-2;F8WD88,CENPA,236,0,0,0
P49454,CENPF,4924,6377,4362,862
P49458;E9PE20;P49458-2,SRP9,3766403,4366289,2975057,3360890
P49588,AARS,1310470,1218495,1047466,542913
P49589-3;P49589,CARS,319104,441394,275627,264557
P49590;P49590-2;B4DQ67,HARS2,77141,91811,92942,51754
P49591;Q5T5C7,SARS,963943,1231653,846272,710975
P49593;P49593-2;B5MCT7,PPM1F,131563,76598,116652,96280
P49619;P49619-3;P49619-2,DGKG,0,2959,0,7933
P49641;P49641-1;H0YLB9;A0A0C4DGL1;H0YNG5;P49641-2,MAN2A2,2573,0,1813,1457
P49642;F8VNY2,PRIM1,108836,321745,132063,155011
P49643,PRIM2,222092,269465,145880,113429
P49662;P49662-2,CASP4,317439,220977,189358,136923
P49674;B0QY35;B0QY34;H0Y645,CSNK1E,0,0,0,0
P49682;P49682-2,CXCR3,0,0,0,0
P49685,GPR15,4406,0,3668,0
P49711;P49711-2,CTCF,164266,126933,138009,131919
P49715;P49715-2;P49715-4;P49715-3,CEBPA,0,0,0,4862
P49716,CEBPD,0,0,0,0
P49720;A0A087WXQ8;A0A087WY10,PSMB3,2427565,2755537,1564404,1550155
P49721,PSMB2,2293947,2745406,1821156,1486200
P49736;H0Y8E6,MCM2,1875449,1923476,1675501,1269130
P49748;P49748-3;P49748-2,ACADVL,1254960,1285783,1430302,766448
P49750-4;P49750;P49750-3;H0YIQ2;F8VU51,YLPM1,65432,81004,58913,52005
P49754;P49754-3;P49754-2,VPS41,48285,59683,55283,46148
P49755,TMED10,403782,867636,499654,939300
P49756,RBM25,300669,372268,319096,192211
P49757;P49757-3;P49757-2;P49757-4;P49757-8;P49757-7;P49757-6;P49757-5;G3V3R1;G3V3Z8,NUMB,184150,114894,134239,72115
P49758;P49758-7;P49758-9;P49758-3;A0A0A0MRA9;B7Z2N1;A0A087WTW9;P49758-6;P49758-11;P49758-10;P49758-16;P49758-5;P49758-8;P49758-13;P49758-14;P49758-15;P49758-2;B7Z7N5;P49758-12,RGS6,0,0,0,0
P49759;P49759-3;B8ZZR0;F8WBF5,CLK1,14357,0,25829,0
P49761;P49761-1;P49761-3,CLK3,20846,26045,24841,23659
P49767,VEGFC,0,0,0,0
P49768;P49768-2;P49768-6;P49768-7;P49768-3;E7ES96;P49768-5,PSEN1,7990,4322,12321,0
P49770;H0YJJ8;G3V5E5,EIF2B2,261545,277412,192983,105076
P49771-3;P49771;M0QYM9;P49771-2,FLT3LG,0,0,0,0
P49773,HINT1,5510411,6299247,4371060,3340158
P49788;P49788-2,RARRES1,0,0,0,0
P49789;E9PBZ0,FHIT,30985,42096,35966,15159
P49790;P49790-2,NUP153,160136,201031,140071,149373
P49792,RANBP2,223446,253862,211880,174748
P49795,RGS19,26432,98533,10667,68847
P49796;P49796-6;P49796-1,RGS3,11009,3919,9750,3843
P49840;A8MT37;M0QYV0,GSK3A,97246,98814,66774,81889
P49841-2;P49841,GSK3B,164789,168632,132547,79567
P49842-4;P49842-3;P49842-2;P49842,STK19,0,0,10201,0
P49863,GZMK,0,0,0,2441
P49888;H0Y8G0,SULT1E1,36850,0,1170,0
P49902;P49902-2;Q5JUV4,NT5C2,164821,243948,195645,131953
P49903;P49903-2;P49903-4;P49903-3;Q5T5U6,SEPHS1,309886,391454,289420,217837
P49914;P49914-2;A0A0A6YYL1,MTHFS,110189,340023,184858,126648
P49915;P49915-2,GMPS,747730,961616,644051,523709
P49916;P49916-3;P49916-4;P49916-2;K7ERZ5,LIG3,67897,70705,68359,73315
P49917,LIG4,22113,16234,4588,11957
P49918;P49918-2;A6NK88,CDKN1C,0,0,0,0
P49959;P49959-3;F8W7U8;P49959-2,MRE11A,222763,324357,221589,223650
P49961;P49961-2;P49961-6;P49961-5;P49961-4;P49961-3,ENTPD1,88933,133187,41011,41583
P50053;P50053-2;C9JDL1,KHK,22431,0,15910,0
P50135,HNMT,0,0,0,0
P50148,GNAQ,8806,7108,23147,7575
P50150,GNG4,0,0,0,0
P50151,GNG10,120526,90273,99537,94678
P50213;H0YL72;P50213-2;H0YMU3;H0YLI6,IDH3A,1244526,1426554,1196646,1245956
P50221-3;P50221,MEOX1,0,0,0,0
P50225;H3BRY5;P50225-2,SULT1A1,0,0,0,0
P50238;K4DIB9;H3BRQ4,CRIP1,2748960,10505350,3688967,4065081
P50281;F8W1B7,MMP14,167759,0,162622,980
P50336,PPOX,69228,97169,76452,80615
P50395;Q5SX87,GDI2,14065088,12263683,11959321,5063370
P50402;Q5HY57,EMD,265003,284127,210711,158060
P50416;P50416-2,CPT1A,45492,49033,90605,67282
P50440;P50440-2;P50440-3,GATM,220994,192644,65465,129292
P50443,SLC26A2,0,0,0,1443
P50452;P50452-2,SERPINB8,107791,97261,52092,32082
P50453,SERPINB9,4395934,5059609,3660304,2661772
P50454;E9PPV6;E9PR70;E9PKH2;E9PK86;E9PMI5,SERPINH1,139356,80750,104500,42257
P50461,CSRP3,0,1265,448,0
P50479,PDLIM4,0,0,0,0
P50502;Q3KNR6;F6VDH7;H7C3I1;A0A087X1H6,ST13,1358013,1439585,1494297,759947
P50548;P50548-2,ERF,9484,5107,7275,0
P50552,VASP,3307492,2573364,2371646,1204687
P50570,DNM2,741917,742824,535715,482341
P50570-4,DNM2,0,0,0,209
P50570-5,DNM2,2149,0,1619,0
P50579;P50579-3;F8VRR3;G3V1U3,METAP2,230047,254049,220119,258521
P50583,NUDT2,177244,191660,132343,30796
P50591,TNFSF10,0,10121,0,0
P50613;D6R9G1,CDK7,620844,2272241,615447,765002
P50747,HLCS,4042,2675,2991,1026
P50748;E7ES84,KNTC1,44551,60517,19851,19846
P50749,RASSF2,731176,724992,622926,492153
P50750;P50750-2,CDK9,96824,97445,78205,73721
P50851,LRBA,2220,1013,2145,0
P50851-2;E9PEM5,LRBA,178176,182142,132080,105081
P50897;E9PMG2;E9PIA8;Q5T0S4;P50897-2,PPT1,127421,258817,133572,187711
P50914;E7EPB3,RPL14,5390821,4239689,5845554,4621051
P50990;P50990-2,CCT8,6457686,6581458,5707102,3872416
P50991;P50991-2,CCT4,4372637,4629761,3517668,2661111
P50995;P50995-2,ANXA11,1246499,1432443,1178470,824068
P51003;G3XAH6;G3V2A0,PAPOLA,183288,177773,170120,123388
P51114;P51114-2;B4DXZ6;E9PFF5;P51114-3;E7EU85,FXR1,306469,264552,238773,243264
P51116,FXR2,45846,25229,33087,23058
P51124;U3KQV5,GZMM,0,0,0,0
P51148;P51148-2;K7ERI8;F8VVK3;K7ENY4,RAB5C,1065485,737088,980171,934674
P51149;C9J592;C9J8S3;C9J4V0;C9IZZ0,RAB7A,2898511,3700050,3035046,2099658
P51151,RAB9A,242442,212549,165220,124337
P51153;A0A087WWB9,RAB13,25920,77439,6196,14836
P51157;P51157-2;P51157-3;H0Y9S6,RAB28,0,0,0,0
P51159;H3BN55;P51159-2;H3BVH7;H3BS49,RAB27A,643192,492913,562888,427084
P51178-2;P51178,PLCD1,13535,0,27994,1005
P51397,DAP,39354,312845,63367,15655
P51398;P51398-2;P51398-3;V9GZ03;V9GYL9;V9GYJ9,DAP3,895653,744117,576950,599988
P51449-2;P51449,RORC,5030,6678,5722,0
P51451,BLK,2470,0,0,0
P51452;P51452-2;K7ES89,DUSP3,76815,143349,103792,100354
P51511,MMP15,0,1202,0,0
P51530;P51530-4;P51530-3;F8VR31;P51530-2,DNA2,0,2950,9890,1866
P51531;P51531-2,SMARCA2,79567,60422,61246,44850
P51553;P51553-2;E7EQB8;G5E9Q7,IDH3G,273859,237263,286336,211435
P51570;P51570-2,GALK1,415418,308763,194013,120754
P51571,SSR4,208927,285217,219365,456321
P51572-2;P51572;C9JSP1;C9JQ75;C9J0M4;C9JMD7,BCAP31,336046,517391,413020,557142
P51575,P2RX1,0,0,0,0
P51580,TPMT,89933,119420,62798,58246
P51606;A6NKZ2;P51606-2,RENBP,25244,25030,29412,3396
P51608-2,MECP2,266844,112808,455228,446984
P51610;P51610-2,HCFC1,5591,6403,5787,2578
P51617;D3YTB5;P51617-2;P51617-3;P51617-4;H7C224,IRAK1,0,4238,0,5142
P51648;P51648-2;J3QRD1,ALDH3A2,21065,86048,55321,132287
P51649;P51649-2;C9J8Q5,ALDH5A1,149714,130358,236011,199161
P51659;E7EWE5;P51659-3;G5E9S2;E7ET17;E7EPL9;E7ER27,HSD17B4,704252,767446,549349,496543
P51665;H3BNT7;H3BTM8,PSMD7,850571,868751,584143,721754
P51668;A0A087WW00,UBE2D1,116704,0,0,83647
P51674;P51674-3;P51674-2;D6R9D2,GPM6A,0,0,0,0
P51677;P51677-2,CCR3,0,0,0,0
P51681,CCR5,0,0,0,1993
P51684,CCR6,7270,5689,7344,3342
P51687,SUOX,4550,3731,0,0
P51688,SGSH,672,0,1811,1405
P51689;P51689-3,ARSD,0,0,0,0
P51692,STAT5B,161918,118707,101464,61166
P51786,ZNF157,0,0,0,0
P51790-4;P51790;A0A087WU31;A0A0A0MTB7;P51790-5;P51790-2;E9PE15,CLCN3,30158,6588,35900,5562
P51795-2;P51795,CLCN5,0,1858,0,0
P51797;P51797-6;P51797-5,CLCN6,0,0,0,0
P51798;P51798-2;H0Y2M6,CLCN7,12657,12288,15090,19517
P51809;P51809-3;P51809-2,VAMP7,184569,121207,164801,101183
P51812,RPS6KA3,319922,280342,243730,189543
P51813,BMX,0,0,0,0
P51817,PRKX,0,0,4778,5916
P51825-2;P51825-3;P51825,AFF1,1570,1912,1469,0
P51826;P51826-2,AFF3,11578,5753,0,5146
P51828;F5H4D1;H3BQ93,ADCY7,7931,5223,5119,4552
P51857;P51857-2,AKR1D1,0,0,0,0
P51858;P51858-3;P51858-2,HDGF,2290602,2517898,2078419,958380
P51878;P51878-5;P51878-6;P51878-2;P51878-3,CASP5,8262,0,7858,6651
P51884,LUM,12486,19227,18120,1426
P51946;D6RHI7;D6RG18,CCNH,30836,56113,32291,30451
P51948;H0YJ92;P51948-2,MNAT1,87961,183928,135222,78842
P51970,NDUFA8,602991,313057,552980,221481
P51991,HNRNPA3,5000916,3334146,5006118,2172353
P51991-2,HNRNPA3,131171,36677,113387,19940
P52209,PGD,3484220,3785926,3200818,1866895
P52209-2,PGD,0,0,0,0
P52272;P52272-2;A0A087X0X3;M0R2T0,HNRNPM,5512329,6110294,4545889,3479689
P52292,KPNA2,408269,475987,469519,474228
P52294;C9JYI4,KPNA1,379277,379686,226955,191896
P52298;P52298-3;C9JQX9;B3KSB0,NCBP2,102233,69087,105023,36202
P52306,RAP1GDS1,15488,2421,3837,0
P52306-3,RAP1GDS1,0,0,0,0
P52306-4,RAP1GDS1,0,0,0,2436
P52306-5;P52306-6,RAP1GDS1,559388,561883,368327,222060
P52333;P52333-2,JAK3,153295,194008,126589,100529
P52564;P52564-2,MAP2K6,61169,31494,28682,39054
P52565;J3QQX2;J3KTF8;J3KRE2;J3KRY1,ARHGDIA,4102196,4006235,3325886,985257
P52566,ARHGDIB,19893790,20320725,15378987,8173687
P52594;P52594-2;P52594-3;P52594-4;B8ZZY2;C9J2I0,AGFG1,318844,257267,160707,142283
P52597,HNRNPF,3605683,2291797,2806169,1721415
P52630,STAT2,83397,60799,85114,64327
P52630-4;B4DLC8,STAT2,0,0,0,0
P52655;J3KNC0;P52655-2,GTF2A1;HIST1H4F,64679,43462,43429,12653
P52657;A0A0B4J1Z5,GTF2A2,236254,315891,148571,278945
P52701;P52701-2;A0A087WWJ1,MSH6,256445,296635,264281,203892
P52732,KIF11,112485,210917,118020,157898
P52735-3;P52735-2;P52735,VAV2,271986,243898,144095,99690
P52739;P52739-2,ZNF131,13368,0,5802,0
P52756,RBM5,83614,104067,82926,43910
P52757;P52757-8,CHN2,0,0,4722,0
P52758;H0YBX3;H0YB34,HRSP12,479091,351211,203344,243857
P52788;P52788-2,SMS,384296,385687,268738,247608
P52789;E9PB90,HK2,190795,124696,96975,232398
P52790,HK3,0,72,0,122
P52815;F6QW41,MRPL12,34126,22481,20018,9715
P52824;H0YA20,DGKQ,368,1385,3127,1805
P52848;E7EVJ3;P52848-2,NDST1,119353,7845,74075,2967
P52849;S4R438,NDST2,0,0,1885,0
P52888;K7EP46,THOP1,465081,512793,298588,254400
P52907,CAPZA1,4094828,4671687,3835954,1979430
P52943;P52943-2;H0YFA4,CRIP2,0,824,545,1088
P52948;P52948-5;P52948-6;P52948-2;H7C3P6,NUP98,202129,188865,155276,119432
P53004,BLVRA,379249,194341,183588,114484
P53007;B4DP62,SLC25A1,414888,624719,369143,826018
P53041;H0YDU8;A8MU39,PPP5C,311616,351236,302137,199632
P53350,PLK1,26035,21347,22172,17812
P53355;P53355-3;P53355-4,DAPK1,0,0,0,0
P53367,ARFIP1,116106,199027,135189,88616
P53367-2;P53367-3,ARFIP1,22204,14587,20835,0
P53370,NUDT6,0,0,5436,0
P53384;P53384-2,NUBP1,567436,361680,475079,221426
P53396;P53396-2;P53396-3,ACLY,1637899,1770962,1312940,1032959
P53539;P53539-10;P53539-3;K7ERZ8;K7EKC1;P53539-7;P53539-4,FOSB,0,0,0,0
P53567,CEBPG,0,0,0,0
P53582,METAP1,436854,467884,386414,367289
P53597,SUCLG1,1048087,1706402,1040358,971208
P53602;H3BP35,MVD,532347,561147,275400,295571
P53609;P53609-2,PGGT1B,213985,172348,151842,89511
P53611;Q5T4U8,RABGGTB,157987,111183,115050,19070
P53618;E9PP73,COPB1,1095883,1230591,889843,673231
P53621;P53621-2,COPA,811255,959937,725910,746553
P53634,CTSC,47136,61288,24298,22797
P53667-4;P53667;E9PC47;P53667-2,LIMK1,149530,254943,111660,56115
P53671;P53671-2,LIMK2,6709,0,12851,30413
P53675;P53675-2;A0A087WX41,CLTCL1,0,2231,7018,1143
P53677;E5RJ52;E7ER80;P53677-2,AP3M2,9249,14188,0,5310
P53701,HCCS,63485,40070,40252,38515
P53794,SLC5A3,10009,0,8646,0
P53803,POLR2K,508934,1199388,639668,77081
P53805;V9GYW9;E9PD55;E9PDJ2;P53805-3;P53805-2,RCAN1,0,0,0,0
P53814-5;P53814-6;P53814;A0A087WVP4;A0A087X1R1,SMTN,12481,6875,15585,10254
P53816,PLA2G16,0,0,0,0
P53985;Q5T8R3;Q5T8R5;P53985-2,SLC16A1,63388,65945,36151,13802
P53990;P53990-4;P53990-5,IST1,555351,590792,418110,250815
P53992;G5EA31,SEC24C,368192,427518,318286,289567
P53999,SUB1,2518401,4479293,2493248,1447995
P54098,POLG,16418,23589,24653,18177
P54132;H0YNU5,BLM,55227,81704,50250,70773
P54136,RARS,1131989,1100782,822278,812248
P54198;P54198-2,HIRA,0,2538,7124,4168
P54253,ATXN1,13516,8801,2059,0
P54259,ATN1,1525,4454,889,0
P54274;P54274-2;E7EWM7,TERF1,447295,0,225864,0
P54277;P54277-3;P54277-2;B7ZAA0;Q3BDU3;Q5FBZ9;E9PC65;P54277-4,PMS1,27087,40707,7958,4463
P54278;C9J167;P54278-3,PMS2,35715,49488,28958,29470
P54296;E7EWH9,MYOM2,0,0,0,0
P54577;A0A0C4DGZ5,YARS,1804738,1765194,1315455,1020166
P54578;P54578-2;A6NJA2;P54578-3,USP14,1268137,1111061,801658,552082
P54619;P54619-3;P54619-2;F8VYY9;F8VVA3,PRKAG1,212527,204546,250553,201220
P54652,HSPA2,9044,1456,12191,6778
P54687;P54687-5;P54687-4;P54687-3;P54687-2,BCAT1,882560,627700,273051,411287
P54709;C9JA36;P54709-2,ATP1B3,631780,588643,419423,457700
P54725;P54725-2;K7ENJ0;K7ELW1,RAD23A,372985,462821,458046,254090
P54725-3,RAD23A,0,0,0,0
P54727;P54727-2,RAD23B,1287865,1233541,1466100,473806
P54762-5,EPHB1,0,0,0,0
P54764;P54764-2;E9PG71,EPHA4,0,0,0,0
P54802,NAGLU,743,2684,1528,2319
P54803;A0A0A0MQV0;P54803-4;A0A0A0MS42;P54803-5;P54803-3;A0A087WX10;E7EPA4,GALC,777,0,0,0
P54886;P54886-2,ALDH18A1,338761,402692,261733,249239
P54920;M0R0Y2,NAPA,928374,838828,777394,381172
P54922,ADPRH,301494,211597,191733,138726
P55008;Q5STX8,AIF1,0,404,0,0
P55008-2,AIF1,0,0,0,0
P55010,EIF5,762692,613870,705217,488914
P55011;G3XAL9;P55011-3,SLC12A2,22294,41954,12805,21045
P55036;P55036-2;A6PVX3,PSMD4,706917,613560,608845,458974
P55039;A8MZF9,DRG2,207332,353511,181545,192444
P55040,GEM,0,0,0,0
P55056,APOC4,162570,145437,126095,0
P55058;P55058-3;P55058-2;P55058-4,PLTP,0,9516,0,0
P55060;P55060-3;P55060-4,CSE1L,7559013,7306793,5275208,4368567
P55061;F8VQW0;F8VX73;F8VPI1;F8W201;F8W086;F8VR05;F8VQQ5;F8VSI7;F8VVJ4;P55061-2;F8W1G3,TMBIM6,18409,0,17449,0
P55072,VCP,4652547,5374001,3214696,1380382
P55081,MFAP1,258694,169989,230456,84242
P55084;P55084-2;F5GZQ3;B5MD38,HADHB,1007089,968398,840574,830692
P55103,INHBC,0,0,8050,0
P55145,MANF,565328,741430,481164,338839
P55160;P55160-2,NCKAP1L,454571,414229,394535,260758
P55196;P55196-5;J3KN01;A8MQ02;Q5TIG5;P55196-6,MLLT4,13756,34685,7113,3494
P55196-1;P55196-2,MLLT4,0,0,0,0
P55199;U3KQ90,ELL,42653,31040,16782,18867
P55201;P55201-3;P55201-4;P55201-2,BRPF1,13572,6190,12119,3026
P55210;P55210-3;A0A0A0MRL7;P55210-4;Q5SVL2,CASP7,152672,141286,111204,111834
P55211;F8VVS7;Q5JRU8;P55211-4;P55211-2;Q5JRU2,CASP9,23198,61080,30593,33861
P55212;D6RHU3,CASP6,113455,78684,62659,30801
