"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000006062","75","136","2","11","1135","1468","919","1102","441","585","59"
"ENSG00000006071","0","0","181","56","1","0","0","0","4","1","0"
"ENSG00000006116","0","0","1","0","0","0","0","0","0","1","1"
"ENSG00000006118","0","0","2","1","17","6","14","0","50","34","5"
"ENSG00000006125","1429","1031","351","91","1618","2868","1554","1824","1861","2379","540"
"ENSG00000006128","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000006194","347","478","120","102","233","376","216","136","282","307","90"
"ENSG00000006210","1","0","0","36","0","0","0","0","0","0","1"
"ENSG00000006282","97","1","71","0","568","1063","694","694","19","338","52"
"ENSG00000006283","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000006327","0","0","11","0","6","1","2","0","0","0","0"
"ENSG00000006377","0","0","0","22","0","0","0","0","0","0","0"
"ENSG00000006432","113","161","271","223","426","307","231","198","492","752","180"
"ENSG00000006451","147","415","2134","224","516","715","376","408","321","248","74"
"ENSG00000006453","0","4","1","3","4","44","30","6","46","134","31"
"ENSG00000006459","561","1251","1123","297","1157","1322","729","474","3645","5672","2742"
"ENSG00000006468","0","0","639","46","0","0","0","0","0","6","0"
"ENSG00000006530","157","821","4","429","796","711","804","477","467","786","211"
"ENSG00000006534","6","17","2","85","47","108","184","267","5","5","5"
"ENSG00000006555","5","0","3","5","102","49","56","4","60","80","7"
"ENSG00000006576","608","1845","750","535","1818","2515","1386","1124","1572","1487","1160"
"ENSG00000006606","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000006607","1004","1161","1050","361","1448","1661","1049","1286","960","1515","385"
"ENSG00000006611","0","0","20","0","0","0","0","0","0","1","0"
"ENSG00000006625","51","1","146","36","77","20","60","78","60","56","12"
"ENSG00000006634","369","1271","7026","2625","483","413","262","188","180","299","233"
"ENSG00000006638","531","75","1","89","253","54","161","121","19","85","14"
"ENSG00000006652","39","1774","1216","195","806","841","404","535","941","930","223"
"ENSG00000006659","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000006695","917","309","3","230","548","705","315","356","221","225","31"
"ENSG00000006704","0","0","79","1","1","0","13","0","0","3","1"
"ENSG00000006712","359","196","2129","105","877","657","687","708","419","539","134"
"ENSG00000006715","883","986","4498","897","2015","2268","1378","1829","1402","1676","365"
"ENSG00000006740","74","0","1","12","50","19","6","21","14","10","6"
"ENSG00000006744","2679","782","306","90","1027","1340","1005","994","303","476","112"
"ENSG00000006747","1","169","148","154","1","2","0","0","3","32","2"
"ENSG00000006756","0","0","2","5","195","202","169","47","36","72","19"
"ENSG00000006757","1","85","1429","63","218","84","121","139","57","95","12"
"ENSG00000006788","0","0","0","45","0","0","0","0","0","0","0"
"ENSG00000006831","758","45","2","69","455","770","315","140","213","489","121"
"ENSG00000006837","0","0","153","1","23","9","10","10","31","7","4"
"ENSG00000007001","0","0","0","1","0","0","0","0","1","0","0"
"ENSG00000007038","0","0","4","0","8","17","0","2","0","2","0"
"ENSG00000007047","1","0","403","18","50","34","13","18","25","127","34"
"ENSG00000007062","0","0","0","30","0","0","0","0","0","0","0"
"ENSG00000007080","1717","975","242","0","59","80","133","129","32","13","10"
"ENSG00000007129","4","426","6","208","284","204","261","260","47","81","6"
"ENSG00000007168","23","723","3379","1079","786","1048","634","468","1628","3440","1558"
"ENSG00000007171","0","0","376","0","0","0","15","0","0","3","0"
"ENSG00000007174","0","0","473","19","0","0","0","0","0","7","1"
"ENSG00000007202","10","320","43","88","729","1294","823","694","959","1360","237"
"ENSG00000007216","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000007237","1","139","4","55","243","87","195","815","618","239","90"
"ENSG00000007255","7143","1523","274","157","91","134","124","78","104","67","32"
"ENSG00000007264","7","1","1","69","16","24","55","35","12","7","6"
"ENSG00000007306","0","0","0","30","0","0","0","0","0","2","0"
"ENSG00000007312","7331","10081","1390","112","4927","3039","5753","4511","914","881","240"
"ENSG00000007314","1","0","2","1","63","164","67","37","67","185","46"
"ENSG00000007341","171","291","782","113","209","131","89","98","499","456","120"
"ENSG00000007350","3","0","5","68","0","19","9","1","1","3","1"
